count	wavelength	intensity
0	405.0	0.0
1	405.815217391	0.0
2	406.630434783	0.0
3	407.445652174	0.0
4	408.260869565	0.0
5	409.076086957	0.0
6	409.891304348	0.0
7	410.706521739	0.0
8	411.52173913	0.0
9	412.336956522	0.0
10	413.152173913	0.0
11	413.967391304	0.0
12	414.782608696	36.4945978391
13	415.597826087	35.3438340376
14	416.413043478	35.2678571429
15	417.22826087	34.3064107208
16	418.043478261	32.9527145359
17	418.858695652	33.0695770805
18	419.673913043	33.5899967094
19	420.489130435	34.443021767
20	421.304347826	31.1848299529
21	422.119565217	31.091180867
22	422.934782609	30.2545038605
23	423.75	29.7272727273
24	424.565217391	30.2291783119
25	425.380434783	29.4124856001
26	426.195652174	29.2202696597
27	427.010869565	29.9913951487
28	427.826086957	30.2016924927
29	428.641304348	30.7499776526
30	429.456521739	30.7382256298
31	430.27173913	30.9764309764
32	431.086956522	31.5704788923
33	431.902173913	31.9753523326
34	432.717391304	32.5195272564
35	433.532608696	33.6790726052
36	434.347826087	33.6007325278
37	435.163043478	34.4769546922
38	435.97826087	35.6011981172
39	436.793478261	35.3956670033
40	437.608695652	36.2815177022
41	438.423913043	37.0743019581
42	439.239130435	37.1497197758
43	440.054347826	36.2067821355
44	440.869565217	36.8365180467
45	441.684782609	37.3208235601
46	442.5	37.882004761
47	443.315217391	38.1999747187
48	444.130434783	38.7585162755
49	444.945652174	39.8808391963
50	445.760869565	40.3628117914
51	446.576086957	40.8545727136
52	447.391304348	41.0332103321
53	448.206521739	41.4387780241
54	449.02173913	41.3852178169
55	449.836956522	41.6239941478
56	450.652173913	42.7153729072
57	451.467391304	42.5145348837
58	452.282608696	42.4840117148
59	453.097826087	42.7047959488
60	453.913043478	42.9012345679
61	454.72826087	42.5447082967
62	455.543478261	42.9734513274
63	456.358695652	43.2227936395
64	457.173913043	42.7103292109
65	457.989130435	43.0905695612
66	458.804347826	42.7344475395
67	459.619565217	42.3819492905
68	460.434782609	42.2775552847
69	461.25	41.7086883441
70	462.065217391	41.187706199
71	462.880434783	41.2842965558
72	463.695652174	38.2191872531
73	464.510869565	39.8283460914
74	465.326086957	39.2472178524
75	466.141304348	38.7202433175
76	466.956521739	37.8502202643
77	467.77173913	36.5463255053
78	468.586956522	35.5838340992
79	469.402173913	34.2958370239
80	470.217391304	33.6321262101
81	471.032608696	32.8034682081
82	471.847826087	32.0464020301
83	472.663043478	31.0475845848
84	473.47826087	30.7673464389
85	474.293478261	30.0147492625
86	475.108695652	29.1119738707
87	475.923913043	29.1736616303
88	476.739130435	27.4074074074
89	477.554347826	27.0509977827
90	478.369565217	27.0829415084
91	479.184782609	26.1574940721
92	480.0	25.3234867134
93	480.815217391	24.8044266361
94	481.630434783	24.4257274119
95	482.445652174	24.4380403458
96	483.260869565	23.9059186428
97	484.076086957	23.7164451394
98	484.891304348	23.3346369443
99	485.706521739	22.536317236
100	486.52173913	22.8299643282
101	487.336956522	22.0768061339
102	488.152173913	20.8548365754
103	488.967391304	21.0816296941
104	489.782608696	20.8066239316
105	490.597826087	20.8210553288
106	491.413043478	21.1075152823
107	492.22826087	20.5489983268
108	493.043478261	20.4897959184
109	493.858695652	21.1118930331
110	494.673913043	20.2585569328
111	495.489130435	21.2724190238
112	496.304347826	20.4784822487
113	497.119565217	21.606493143
114	497.934782609	21.2765957447
115	498.75	21.1699638375
116	499.565217391	21.8644067797
117	500.380434783	19.7615477975
118	501.195652174	23.3551198257
119	502.010869565	22.5425950197
120	502.826086957	21.9154065308
121	503.641304348	23.5397452789
122	504.456521739	23.0357142857
123	505.27173913	24.0456868049
124	506.086956522	23.6047823145
125	506.902173913	23.0242119689
126	507.717391304	23.4758871702
127	508.532608696	22.6765799257
128	509.347826087	23.2670565302
129	510.163043478	23.6848313281
130	510.97826087	23.2924142273
131	511.793478261	25.1143059156
132	512.608695652	23.669548511
133	513.423913043	23.8072289157
134	514.239130435	24.836284259
135	515.054347826	26.8714011516
136	515.869565217	26.8529671565
137	516.684782609	25.6819300837
138	517.5	24.8993618066
139	518.315217391	25.3701875617
140	519.130434783	26.0826771654
141	519.945652174	26.6666666667
142	520.760869565	28.1891465138
143	521.576086957	26.1159492411
144	522.391304348	26.1229902205
145	523.206521739	28.1690140845
146	524.02173913	25.6192144108
147	524.836956522	25.703611457
148	525.652173913	26.3957928103
149	526.467391304	25.7293952585
150	527.282608696	27.4539490285
151	528.097826087	27.8961955152
152	528.913043478	27.1186440678
153	529.72826087	27.800407332
154	530.543478261	27.3143438454
155	531.358695652	27.7940046118
156	532.173913043	28.2376841036
157	532.989130435	28.9862455425
158	533.804347826	30.905982906
159	534.619565217	28.7358684481
160	535.434782609	28.7257267609
161	536.25	28.8785422774
162	537.065217391	29.7486395439
163	537.880434783	30.8977035491
164	538.695652174	31.2205343112
165	539.510869565	30.5403288958
166	540.326086957	31.3946989086
167	541.141304348	31.6185106883
168	541.956521739	31.9627340321
169	542.77173913	32.6118326118
170	543.586956522	31.6568194231
171	544.402173913	34.2069644395
172	545.217391304	33.1795365817
173	546.032608696	34.0548340548
174	546.847826087	34.537037037
175	547.663043478	38.3323546682
176	548.47826087	37.202630006
177	549.293478261	39.4280498935
178	550.108695652	38.3344125679
179	550.923913043	40.3416640304
180	551.739130435	43.6112906701
181	552.554347826	43.0486202365
182	553.369565217	42.7327528466
183	554.184782609	42.9834627067
184	555.0	45.2332514907
185	555.815217391	44.8288288288
186	556.630434783	46.9602792089
187	557.445652174	45.3942520265
188	558.260869565	45.7962413452
189	559.076086957	47.21912548
190	559.891304348	48.4667165295
191	560.706521739	48.6045641601
192	561.52173913	47.8869411605
193	562.336956522	48.9520958084
194	563.152173913	51.5860014892
195	563.967391304	47.2813238771
196	564.782608696	46.8095238095
197	565.597826087	50.4937391835
198	566.413043478	50.1642119519
199	567.22826087	48.4893328401
200	568.043478261	46.0501508296
201	568.858695652	50.4285617871
202	569.673913043	51.2415121111
203	570.489130435	48.5353344118
204	571.304347826	47.0582671207
205	572.119565217	51.60339108
206	572.934782609	50.9735463945
207	573.75	50.6862646398
208	574.565217391	49.7000971752
209	575.380434783	46.2354487421
210	576.195652174	46.768707483
211	577.010869565	46.1146737081
212	577.826086957	49.618132545
213	578.641304348	47.477324263
214	579.456521739	47.5198788337
215	580.27173913	48.1242895037
216	581.086956522	48.7198092671
217	581.902173913	48.649488809
218	582.717391304	47.0433821497
219	583.532608696	51.7981308411
220	584.347826087	47.8441558442
221	585.163043478	48.7571701722
222	585.97826087	49.2672006715
223	586.793478261	51.5243065092
224	587.608695652	49.5375722543
225	588.423913043	50.5030959751
226	589.239130435	47.7281591265
227	590.054347826	47.2881026438
228	590.869565217	47.2802942315
229	591.684782609	46.2709878954
230	592.5	48.3354673496
231	593.315217391	46.9363707778
232	594.130434783	48.7304687499
233	594.945652174	47.6870078741
234	595.760869565	47.5955853371
235	596.576086957	48.0997624703
236	597.391304348	49.4588744589
237	598.206521739	48.8922841864
