count	wavelength	intensity
0	405.0	60.2772754671
1	405.815217391	59.0542099193
2	406.630434783	60.1038895224
3	407.445652174	58.1442538277
4	408.260869565	55.4621848739
5	409.076086957	54.1001855288
6	409.891304348	54.6170365068
7	410.706521739	55.5055103019
8	411.52173913	54.5856353591
9	412.336956522	53.7350465219
10	413.152173913	53.7704918033
11	413.967391304	50.1633986928
12	414.782608696	50.5268774176
13	415.597826087	49.4813676527
14	416.413043478	49.8015873016
15	417.22826087	50.1267656646
16	418.043478261	48.5841304055
17	418.858695652	48.6514849407
18	419.673913043	48.6394816109
19	420.489130435	48.6949670048
20	421.304347826	48.745587643
21	422.119565217	49.0835920432
22	422.934782609	48.8858582081
23	423.75	48.0194805195
24	424.565217391	49.0297851952
25	425.380434783	50.2063587531
26	426.195652174	50.9306022254
27	427.010869565	47.152724482
28	427.826086957	47.9161467432
29	428.641304348	46.878072763
30	429.456521739	47.4939759036
31	430.27173913	48.1006647673
32	431.086956522	48.0670703307
33	431.902173913	48.6375085871
34	432.717391304	48.8529014845
35	433.532608696	50.0894854586
36	434.347826087	50.2955988614
37	435.163043478	50.5920344456
38	435.97826087	51.4120667522
39	436.793478261	51.03751834
40	437.608695652	51.2009854239
41	438.423913043	52.458341905
42	439.239130435	51.901521217
43	440.054347826	52.7174995023
44	440.869565217	53.4832802548
45	441.684782609	53.5379202502
46	442.5	53.4066782474
47	443.315217391	53.5836177474
48	444.130434783	54.3716881151
49	444.945652174	55.3337136338
50	445.760869565	55.574452003
51	446.576086957	55.8470764618
52	447.391304348	55.7380073801
53	448.206521739	56.5779748707
54	449.02173913	56.5345080764
55	449.836956522	56.6569129481
56	450.652173913	57.7534246575
57	451.467391304	57.6671511628
58	452.282608696	57.3426573427
59	453.097826087	58.0875781948
60	453.913043478	58.1374643875
61	454.72826087	57.4142480211
62	455.543478261	58.2123893805
63	456.358695652	58.8934208193
64	457.173913043	58.2476920397
65	457.989130435	58.8410364146
66	458.804347826	58.8788300836
67	459.619565217	59.3859036985
68	460.434782609	59.3243949155
69	461.25	58.8593288124
70	462.065217391	59.055391561
71	462.880434783	59.877408056
72	463.695652174	59.4429939077
73	464.510869565	59.3597773138
74	465.326086957	59.657402552
75	466.141304348	59.5894016494
76	466.956521739	59.8414096916
77	467.77173913	59.4111461619
78	468.586956522	59.6854012018
79	469.402173913	59.2559787422
80	470.217391304	59.9139476515
81	471.032608696	59.7182080925
82	471.847826087	59.4163494653
83	472.663043478	58.5851275556
84	473.47826087	58.8829689509
85	474.293478261	58.2042772861
86	475.108695652	57.7740802366
87	475.923913043	57.4146614438
88	476.739130435	55.6851851852
89	477.554347826	55.2106430155
90	478.369565217	54.9181869475
91	479.184782609	53.2946461999
92	480.0	52.7740958152
93	480.815217391	52.1846975768
94	481.630434783	51.4931087289
95	482.445652174	50.5667627281
96	483.260869565	49.7782918836
97	484.076086957	49.4917904613
98	484.891304348	48.7289792726
99	485.706521739	48.3117393011
100	486.52173913	47.9984145858
101	487.336956522	47.332936744
102	488.152173913	46.6057959508
103	488.967391304	47.3285486443
104	489.782608696	46.09375
105	490.597826087	46.1848198108
106	491.413043478	45.3681229773
107	492.22826087	44.9328449328
108	493.043478261	44.2040816327
109	493.858695652	43.9860426929
110	494.673913043	44.4605508387
111	495.489130435	43.9516968561
112	496.304347826	43.41912534
113	497.119565217	44.8922474111
114	497.934782609	43.4255319149
115	498.75	42.799404382
116	499.565217391	42.1610169492
117	500.380434783	41.9361747698
118	501.195652174	42.7233115468
119	502.010869565	43.0814038153
120	502.826086957	41.9840748046
121	503.641304348	42.4652320304
122	504.456521739	41.1607142857
123	505.27173913	40.915238954
124	506.086956522	41.8196856907
125	506.902173913	41.3704888077
126	507.717391304	41.7591750076
127	508.532608696	42.7774827403
128	509.347826087	41.9929824561
129	510.163043478	42.9211741314
130	510.97826087	42.8706326723
131	511.793478261	44.2357548179
132	512.608695652	41.8315722062
133	513.423913043	41.4586345382
134	514.239130435	42.144069852
135	515.054347826	42.528105292
136	515.869565217	45.0975668514
137	516.684782609	45.1766844677
138	517.5	45.6881034201
139	518.315217391	43.548159639
140	519.130434783	45.7601453664
141	519.945652174	43.1368383785
142	520.760869565	46.6409681069
143	521.576086957	43.7919880567
144	522.391304348	44.3844569155
145	523.206521739	46.8967652066
146	524.02173913	44.8622180921
147	524.836956522	45.92010729
148	525.652173913	46.5184840374
149	526.467391304	47.2037657633
150	527.282608696	47.4853937382
151	528.097826087	45.495446856
152	528.913043478	45.7085034874
153	529.72826087	46.3776549316
154	530.543478261	48.8301119023
155	531.358695652	44.3829532838
156	532.173913043	47.1305231082
157	532.989130435	48.1210078765
158	533.804347826	48.1893491124
159	534.619565217	49.4900782671
160	535.434782609	47.2152459743
161	536.25	47.8013450595
162	537.065217391	47.2069003813
163	537.880434783	48.285117805
164	538.695652174	47.2947691387
165	539.510869565	48.2678897714
166	540.326086957	50.377792713
167	541.141304348	47.0190274841
168	541.956521739	50.9705827631
169	542.77173913	49.5980210266
170	543.586956522	49.0515201165
171	544.402173913	48.4772978959
172	545.217391304	50.6860011154
173	546.032608696	53.2879818594
174	546.847826087	52.6234567901
175	547.663043478	57.9249288586
176	548.47826087	57.4502604389
177	549.293478261	56.5622147855
178	550.108695652	59.6027076052
179	550.923913043	61.3910606951
180	551.739130435	63.2745405855
181	552.554347826	64.4640510606
182	553.369565217	66.5964979428
183	554.184782609	67.2291596355
184	555.0	70.5917723105
185	555.815217391	69.7273273273
186	556.630434783	74.1290154087
187	557.445652174	74.5341614907
188	558.260869565	72.2453016815
189	559.076086957	72.8551963335
190	559.891304348	71.0919970082
191	560.706521739	73.7448559671
192	561.52173913	75.9769378603
193	562.336956522	76.2189905902
194	563.152173913	79.7296523283
195	563.967391304	74.2167475426
196	564.782608696	71.7714285714
197	565.597826087	72.228443449
198	566.413043478	71.7318435754
199	567.22826087	76.9092542677
200	568.043478261	71.6063348416
201	568.858695652	77.9297910701
202	569.673913043	78.6112438286
203	570.489130435	74.5659111807
204	571.304347826	73.0230798335
205	572.119565217	78.0580274867
206	572.934782609	75.7065484983
207	573.75	75.5211024978
208	574.565217391	77.8895266179
209	575.380434783	71.6860683441
210	576.195652174	73.0158730159
211	577.010869565	73.0290456433
212	577.826086957	76.3143631436
213	578.641304348	73.2426303855
214	579.456521739	76.22924217
215	580.27173913	75.5156173877
216	581.086956522	75.6637888907
217	581.902173913	75.6350412504
218	582.717391304	73.6702127658
219	583.532608696	79.9786381842
220	584.347826087	71.2142857143
221	585.163043478	72.7342256216
222	585.97826087	72.9511350518
223	586.793478261	76.0926485398
224	587.608695652	72.4470134875
225	588.423913043	73.0650154797
226	589.239130435	73.1669266772
227	590.054347826	73.2115085535
228	590.869565217	72.4738675958
229	591.684782609	75.5982596086
230	592.5	72.1830985915
231	593.315217391	72.4273369994
232	594.130434783	72.1093749999
233	594.945652174	72.7165354332
234	595.760869565	75.0464553186
235	596.576086957	75.1611808619
236	597.391304348	70.1636904762
237	598.206521739	72.6290516206
238	599.02173913	75.5923763736
239	599.836956522	76.0465515271
240	600.652173913	72.6252505011
241	601.467391304	72.4748490944
242	602.282608696	70.3881048389
243	603.097826087	72.2920892496
244	603.913043478	75.4404325833
245	604.72826087	76.1059625809
246	605.543478261	72.9354047423
247	606.358695652	74.8772504093
248	607.173913043	70.497200332
249	607.989130435	72.9279466887
250	608.804347826	73.3361239011
251	609.619565217	76.0484790306
252	610.434782609	71.5345485374
253	611.25	74.6672212978
254	612.065217391	72.4450194049
255	612.880434783	76.8141810797
256	613.695652174	76.7355754398
257	614.510869565	79.0986322829
258	615.326086957	73.4211387435
259	616.141304348	80.4043839758
260	616.956521739	81.1278863234
261	617.77173913	82.2953736653
262	618.586956522	83.5934016943
263	619.402173913	91.4440923493
264	620.217391304	102.881156613
265	621.032608696	100.426985482
266	621.847826087	99.2769034456
267	622.663043478	99.9177969585
268	623.47826087	101.109789933
269	624.293478261	101.292775666
270	625.108695652	101.344965467
271	625.923913043	99.0006891797
272	626.739130435	92.9104477612
273	627.554347826	96.4408367156
274	628.369565217	95.632798574
275	629.184782609	89.1514598541
276	630.0	90.1701119724
277	630.815217391	91.1665482953
278	631.630434783	86.853978671
279	632.445652174	87.6061893204
280	633.260869565	86.9145822247
281	634.076086957	87.1482329842
282	634.891304348	85.7108160623
283	635.706521739	85.5351652575
284	636.52173913	90.6683480454
285	637.336956522	86.3499611801
286	638.152173913	89.7741689926
287	638.967391304	90.9044715447
288	639.782608696	92.6553672316
289	640.597826087	91.1885245902
290	641.413043478	85.0887096775
291	642.22826087	86.6689614477
292	643.043478261	86.8620440828
293	643.858695652	91.6731116267
294	644.673913043	89.9818323384
295	645.489130435	91.0162388685
296	646.304347826	86.0544786097
297	647.119565217	86.6883774299
298	647.934782609	93.7736870601
299	648.75	88.3653579355
300	649.565217391	88.4033407882
301	650.380434783	88.4861033126
302	651.195652174	91.2031741494
303	652.010869565	90.0967048709
304	652.826086957	89.3706747405
305	653.641304348	92.6201372998
306	654.456521739	89.9598692032
307	655.27173913	95.3995871424
308	656.086956522	94.9670461354
309	656.902173913	96.1678832117
310	657.717391304	94.9559404436
311	658.532608696	89.814157197
312	659.347826087	91.6740211811
313	660.163043478	93.5059388218
314	660.97826087	94.2097090554
315	661.793478261	96.6795615732
316	662.608695652	91.7493331112
317	663.423913043	98.7025948104
318	664.239130435	100.371998647
319	665.054347826	96.6518642281
320	665.869565217	97.1124097628
321	666.684782609	94.8478530871
322	667.5	93.4807968415
323	668.315217391	93.7842278204
324	669.130434783	97.4468085106
325	669.945652174	96.5360326893
326	670.760869565	93.8191626708
327	671.576086957	94.4906884876
328	672.391304348	95.2851294743
329	673.206521739	95.3190376567
330	674.02173913	96.362229102
331	674.836956522	95.2969109749
332	675.652173913	94.4742178447
333	676.467391304	95.6947162428
334	677.282608696	94.2995310668
335	678.097826087	95.0887544623
336	678.913043478	96.0009003601
337	679.72826087	94.8718587956
338	680.543478261	94.0484480702
339	681.358695652	94.8033707867
340	682.173913043	94.880880579
341	682.989130435	95.158915516
342	683.804347826	95.8580335239
343	684.619565217	96.1160529584
344	685.434782609	94.9155615415
345	686.25	94.7141094198
346	687.065217391	95.1953125
347	687.880434783	94.7681704261
348	688.695652174	95.2506318448
349	689.510869565	94.4644369177
350	690.326086957	94.9093816633
351	691.141304348	99.0744636096
352	691.956521739	95.9684487294
353	692.77173913	95.4891784454
354	693.586956522	95.9051724138
355	694.402173913	98.8398036591
356	695.217391304	96.943119891
357	696.032608696	95.5757472826
358	696.847826087	95.4126875853
359	697.663043478	96.7561841505
360	698.47826087	97.6489485979
361	699.293478261	100.09354537
362	700.108695652	95.3678871271
363	700.923913043	95.838270142
364	701.739130435	95.9521812078
365	702.554347826	96.1107748182
366	703.369565217	99.7553816045
