count	wavelength	intensity
0	405.0	0.0
1	405.815217391	0.0
2	406.630434783	0.0
3	407.445652174	0.0
4	408.260869565	0.0
5	409.076086957	0.0
6	409.891304348	0.0
7	410.706521739	0.0
8	411.52173913	0.0
9	412.336956522	0.0
10	413.152173913	0.0
11	413.967391304	0.0
12	414.782608696	0.0
13	415.597826087	0.0
14	416.413043478	0.0
15	417.22826087	0.0
16	418.043478261	0.0
17	418.858695652	0.0
18	419.673913043	0.0
19	420.489130435	0.0
20	421.304347826	0.0
21	422.119565217	0.0
22	422.934782609	0.0
23	423.75	0.0
24	424.565217391	25.4891000559
25	425.380434783	24.5888379617
26	426.195652174	24.2741302642
27	427.010869565	23.7400869788
28	427.826086957	23.5587721487
29	428.641304348	22.6810881678
30	429.456521739	22.6184738956
31	430.27173913	22.5387780943
32	431.086956522	22.2077317187
33	431.902173913	21.7736923027
34	432.717391304	21.5024741341
35	433.532608696	21.7897091723
36	434.347826087	21.6334574119
37	435.163043478	21.3993541442
38	435.97826087	22.0225360148
39	436.793478261	21.4257434966
40	437.608695652	21.3508519811
41	438.423913043	21.8226702325
42	439.239130435	21.3115947303
43	440.054347826	21.602446926
44	440.869565217	21.9455703532
45	441.684782609	21.5272348189
46	442.5	21.746123657
47	443.315217391	22.1739580101
48	444.130434783	22.4623219324
49	444.945652174	22.3363123534
50	445.760869565	23.0055658627
51	446.576086957	22.8635682159
52	447.391304348	23.0258302583
53	448.206521739	23.1584134023
54	449.02173913	23.133401107
55	449.836956522	23.7015362107
56	450.652173913	24.1657885494
57	451.467391304	25.0
58	452.282608696	25.1270097424
59	453.097826087	24.6593799409
60	453.913043478	24.8301555994
61	454.72826087	24.961775252
62	455.543478261	25.3778080327
63	456.358695652	25.5146166123
64	457.173913043	25.2971205767
65	457.989130435	25.6194785607
66	458.804347826	25.7124491108
67	459.619565217	25.7662783832
68	460.434782609	26.0169570983
69	461.25	25.7881572436
70	462.065217391	24.924962171
71	462.880434783	25.2989742307
72	463.695652174	25.55801031
73	464.510869565	25.673143836
74	465.326086957	25.5576620548
75	466.141304348	25.6995154346
76	466.956521739	25.4828871569
77	467.77173913	24.977756208
78	468.586956522	25.1896565788
79	469.402173913	23.9706440592
80	470.217391304	24.1356348922
81	471.032608696	23.5962014864
82	471.847826087	24.0487444403
83	472.663043478	23.5598669469
84	473.47826087	23.0642038469
85	474.293478261	23.0315407307
86	475.108695652	22.3445255059
87	475.923913043	22.5675462385
88	476.739130435	21.698005698
89	477.554347826	21.3997384729
90	478.369565217	21.2496925681
91	479.184782609	20.6433775883
92	480.0	21.0818658082
93	480.815217391	21.039241875
94	481.630434783	21.3169984686
95	482.445652174	20.595581172
96	483.260869565	19.98843262
97	484.076086957	20.2032838155
98	484.891304348	19.9608916699
99	485.706521739	19.473890852
100	486.52173913	19.849385652
101	487.336956522	20.0277612532
102	488.152173913	19.2820280157
103	488.967391304	19.0855927698
104	489.782608696	19.0384615385
105	490.597826087	19.2470304006
106	491.413043478	19.5792880259
107	492.22826087	19.129019129
108	493.043478261	18.9387755102
109	493.858695652	18.8834154351
110	494.673913043	18.8858977014
111	495.489130435	18.6550072871
112	496.304347826	19.4182883448
113	497.119565217	19.4794290512
114	497.934782609	19.4042553191
115	498.75	0.0
116	499.565217391	0.0
117	500.380434783	0.0
118	501.195652174	0.0
119	502.010869565	0.0
120	502.826086957	0.0
121	503.641304348	0.0
122	504.456521739	0.0
123	505.27173913	0.0
124	506.086956522	0.0
125	506.902173913	0.0
126	507.717391304	0.0
127	508.532608696	0.0
128	509.347826087	0.0
129	510.163043478	0.0
130	510.97826087	0.0
131	511.793478261	0.0
132	512.608695652	0.0
133	513.423913043	0.0
134	514.239130435	0.0
135	515.054347826	0.0
136	515.869565217	0.0
137	516.684782609	0.0
138	517.5	0.0
139	518.315217391	0.0
140	519.130434783	0.0
141	519.945652174	0.0
142	520.760869565	0.0
143	521.576086957	0.0
144	522.391304348	0.0
145	523.206521739	0.0
146	524.02173913	0.0
147	524.836956522	0.0
148	525.652173913	0.0
149	526.467391304	0.0
150	527.282608696	0.0
151	528.097826087	0.0
152	528.913043478	0.0
153	529.72826087	0.0
154	530.543478261	0.0
155	531.358695652	0.0
156	532.173913043	0.0
157	532.989130435	0.0
158	533.804347826	0.0
159	534.619565217	25.4881808839
160	535.434782609	23.9917269907
161	536.25	23.7972064149
162	537.065217391	23.633065561
163	537.880434783	0.0
164	538.695652174	23.8868517548
165	539.510869565	24.6410858784
166	540.326086957	24.1461477363
167	541.141304348	23.8900634249
168	541.956521739	24.2945444773
169	542.77173913	0.0
170	543.586956522	24.4675040961
171	544.402173913	24.8062015504
172	545.217391304	24.9860568879
173	546.032608696	0.0
174	546.847826087	26.3888888889
175	547.663043478	0.0
176	548.47826087	0.0
177	549.293478261	30.1794949802
178	550.108695652	0.0
179	550.923913043	31.3824739007
180	551.739130435	30.5106658048
181	552.554347826	29.9605781866
182	553.369565217	0.0
183	554.184782609	0.0
184	555.0	32.2693791652
185	555.815217391	32.8648648649
186	556.630434783	35.1005484461
187	557.445652174	35.9616801769
188	558.260869565	0.0
189	559.076086957	34.4853214418
190	559.891304348	37.6963350785
191	560.706521739	36.5132809577
192	561.52173913	34.6786248132
193	562.336956522	35.129740519
194	563.152173913	37.5279225614
195	563.967391304	35.5356476297
196	564.782608696	33.4285714286
197	565.597826087	34.0425531915
198	566.413043478	36.9459962756
199	567.22826087	34.9241583426
200	568.043478261	34.5022624434
201	568.858695652	33.8530066815
202	569.673913043	35.0798959495
203	570.489130435	34.8352896629
204	571.304347826	32.9171396141
205	572.119565217	34.205676373
206	572.934782609	36.0413589365
207	573.75	36.6186784791
208	574.565217391	35.7783511488
209	575.380434783	34.359744649
210	576.195652174	33.1632653061
211	577.010869565	32.2519803848
212	577.826086957	39.615668884
213	578.641304348	32.3129251701
214	579.456521739	36.3498674744
215	580.27173913	34.6722243275
216	581.086956522	32.4971493729
217	581.902173913	32.4848024315
218	582.717391304	34.1945288753
219	583.532608696	35.8878504673
220	584.347826087	36.0
221	585.163043478	32.6959847037
222	585.97826087	33.6667949211
223	586.793478261	35.3474320242
224	587.608695652	33.9113680154
225	588.423913043	37.1517027863
226	589.239130435	34.5163806553
227	590.054347826	0.0
228	590.869565217	0.0
229	591.684782609	37.0948848107
230	592.5	33.7441314554
231	593.315217391	35.3495679498
232	594.130434783	34.8632812499
233	594.945652174	34.8425196851
234	595.760869565	34.292471423
235	596.576086957	35.6294536817
236	597.391304348	34.5238095238
237	598.206521739	35.0140056022
238	599.02173913	34.8557692308
239	599.836956522	36.6293034428
240	600.652173913	35.4709418838
241	601.467391304	0.0
242	602.282608696	34.4758064517
243	603.097826087	35.598377282
244	603.913043478	36.0195360195
245	604.72826087	35.4957160343
246	605.543478261	34.341782502
247	606.358695652	0.0
248	607.173913043	36.7067606803
249	607.989130435	39.358600583
250	608.804347826	35.161155295
251	609.619565217	0.0
252	610.434782609	0.0
