count	wavelength	intensity
0	405.0	59.3664188601
1	405.815217391	57.3010380623
2	406.630434783	56.4735150824
3	407.445652174	56.8295014338
4	408.260869565	53.8579067991
5	409.076086957	53.4013605442
6	409.891304348	52.4278215223
7	410.706521739	51.8766970133
8	411.52173913	53.3456108042
9	412.336956522	52.5180918624
10	413.152173913	51.5032853255
11	413.967391304	48.6461251167
12	414.782608696	48.4765334705
13	415.597826087	48.5120718697
14	416.413043478	46.8962585034
15	417.22826087	46.5531812145
16	418.043478261	46.0665499124
17	418.858695652	46.0572987722
18	419.673913043	44.4554129648
19	420.489130435	44.7183098592
20	421.304347826	44.502617801
21	422.119565217	43.8565022422
22	422.934782609	42.6079496711
23	423.75	43.3522727273
24	424.565217391	43.5718278368
25	425.380434783	42.3564303047
26	426.195652174	42.2966256866
27	427.010869565	42.1847019698
28	427.826086957	41.5772398303
29	428.641304348	42.1828908555
30	429.456521739	41.9759036145
31	430.27173913	42.1415004748
32	431.086956522	41.9189566837
33	431.902173913	41.7220059537
34	432.717391304	41.9028340081
35	433.532608696	42.7516778523
36	434.347826087	42.0845193781
37	435.163043478	42.0021528525
38	435.97826087	42.1694480103
39	436.793478261	41.8780129952
40	437.608695652	41.0798603983
41	438.423913043	41.3289446616
42	439.239130435	40.6525220176
43	440.054347826	40.7127214812
44	440.869565217	41.0628980892
45	441.684782609	40.0899139953
46	442.5	40.0694846555
47	443.315217391	39.1164201744
48	444.130434783	39.0045420136
49	444.945652174	39.0188248716
50	445.760869565	38.9266817838
51	446.576086957	38.6056971514
52	447.391304348	37.6752767528
53	448.206521739	37.3429416112
54	449.02173913	36.7107195301
55	449.836956522	36.0643745428
56	450.652173913	35.4337899543
57	451.467391304	34.6475290698
58	452.282608696	33.4767796306
59	453.097826087	32.618409294
60	453.913043478	31.5705128205
61	454.72826087	30.6772207564
62	455.543478261	30.3008849558
63	456.358695652	29.6506472779
64	457.173913043	28.5664518377
65	457.989130435	28.0112044818
66	458.804347826	27.1413649025
67	459.619565217	26.4829030007
68	460.434782609	25.8227407278
69	461.25	25.3695009564
70	462.065217391	24.7959715228
71	462.880434783	24.4483362522
72	463.695652174	23.5857267189
73	464.510869565	23.1732776618
74	465.326086957	22.8980947387
75	466.141304348	22.5829092823
76	466.956521739	22.2555066079
77	467.77173913	21.4335786891
78	468.586956522	21.0321668434
79	469.402173913	20.5668733392
80	470.217391304	20.4912154894
81	471.032608696	20.8634393064
82	471.847826087	20.1196302338
83	472.663043478	19.7623786261
84	473.47826087	20.0257211097
85	474.293478261	19.1187315634
86	475.108695652	19.4596307741
87	475.923913043	19.4180190263
88	476.739130435	18.7777777778
89	477.554347826	18.4888282449
90	478.369565217	19.3284240679
91	479.184782609	18.8148803649
92	480.0	18.3298617686
93	480.815217391	19.4237740889
94	481.630434783	18.8191254041
95	482.445652174	18.9707698641
96	483.260869565	18.6840728194
97	484.076086957	19.3901485536
98	484.891304348	19.0848650763
99	485.706521739	19.473890852
100	486.52173913	19.9762187872
101	487.336956522	19.924648027
102	488.152173913	19.1610427418
103	488.967391304	19.9893673578
104	489.782608696	20.0
105	490.597826087	19.7033756124
106	491.413043478	20.71197411
107	492.22826087	21.8966218966
108	493.043478261	21.2897959184
109	493.858695652	20.6349206349
110	494.673913043	21.2714847795
111	495.489130435	21.097924908
112	496.304347826	20.6235614145
113	497.119565217	20.3190596138
114	497.934782609	20.7659574468
115	498.75	21.6691484081
116	499.565217391	21.0922787194
117	500.380434783	21.6748768473
118	501.195652174	21.4960058097
119	502.010869565	22.3095966215
120	502.826086957	23.2595514647
121	503.641304348	22.4857268336
122	504.456521739	22.5
123	505.27173913	22.7592425609
124	506.086956522	22.8416744546
125	506.902173913	22.9023907416
126	507.717391304	23.1574158326
127	508.532608696	23.9983477902
128	509.347826087	23.7452891488
129	510.163043478	24.5812691673
130	510.97826087	24.2157171336
131	511.793478261	25.3028517558
132	512.608695652	25.1955537258
133	513.423913043	26.8777969019
134	514.239130435	26.0867221818
135	515.054347826	25.0799744082
136	515.869565217	24.9771139484
137	516.684782609	26.3515509601
138	517.5	25.6705493819
139	518.315217391	26.1050784249
140	519.130434783	26.2795275591
141	519.945652174	26.5278810409
142	520.760869565	26.6068312142
143	521.576086957	26.7064775649
144	522.391304348	28.9905519642
145	523.206521739	28.1690140845
146	524.02173913	27.5843246071
147	524.836956522	26.557552037
148	525.652173913	28.9460413515
149	526.467391304	27.2547397201
150	527.282608696	27.7842772922
151	528.097826087	28.7226001512
152	528.913043478	28.5819922552
153	529.72826087	28.6385712048
154	530.543478261	28.922450896
155	531.358695652	30.0965069605
156	532.173913043	30.0321652277
157	532.989130435	29.4107658346
158	533.804347826	29.7593688363
159	534.619565217	30.5708679809
160	535.434782609	31.5063771113
161	536.25	29.6799940877
162	537.065217391	29.8203998645
163	537.880434783	29.9135102893
164	538.695652174	30.3823991619
165	539.510869565	31.3555408309
166	540.326086957	31.9341764934
167	541.141304348	31.8030806403
168	541.956521739	32.034399355
169	542.77173913	32.5341325341
170	543.586956522	33.0498556605
171	544.402173913	35.7100264077
172	545.217391304	34.6304002746
173	546.032608696	34.8234531908
174	546.847826087	36.5028490028
175	547.663043478	36.3392332858
176	548.47826087	36.8883955256
177	549.293478261	37.3836324916
178	550.108695652	41.2098688965
179	550.923913043	40.5658245582
180	551.739130435	42.7626671971
181	552.554347826	42.2601839685
182	553.369565217	43.3642713616
183	554.184782609	43.773202835
184	555.0	45.2332514907
185	555.815217391	46.4336336336
186	556.630434783	47.552885871
187	557.445652174	49.8837934357
188	558.260869565	48.3679525223
189	559.076086957	46.9713861018
190	559.891304348	47.6290201945
191	560.706521739	48.6444693852
192	561.52173913	49.4981849242
193	562.336956522	48.9307100086
194	563.152173913	48.2501861504
195	563.967391304	48.6151549085
196	564.782608696	46.2448979592
197	565.597826087	50.0826534421
198	566.413043478	47.895716946
199	567.22826087	48.8543593538
200	568.043478261	44.5772058824
201	568.858695652	49.0826174568
202	569.673913043	48.6277008016
203	570.489130435	45.8430248282
204	571.304347826	45.6461812875
205	572.119565217	47.4161444895
206	572.934782609	49.4619117957
207	573.75	48.7067798696
208	574.565217391	48.8231267442
209	575.380434783	45.4374765303
210	576.195652174	46.201814059
211	577.010869565	45.6054319126
212	577.826086957	49.4854738757
213	578.641304348	46.485260771
214	579.456521739	46.0762968572
215	580.27173913	48.2325556218
216	581.086956522	47.2443937666
217	581.902173913	47.9863221884
218	582.717391304	47.9944637429
219	583.532608696	50.4993324433
220	584.347826087	47.7333333333
221	585.163043478	47.036328872
222	585.97826087	49.098554389
223	586.793478261	50.8358509567
224	587.608695652	47.7456647399
225	588.423913043	49.1099071206
226	589.239130435	50.3537998664
227	590.054347826	48.2115085536
228	590.869565217	50.8353435183
229	591.684782609	49.394767669
230	592.5	48.082942097
231	593.315217391	49.5735607677
232	594.130434783	49.4280133928
233	594.945652174	49.6906636671
234	595.760869565	49.3271017513
235	596.576086957	50.4750593824
236	597.391304348	50.3968253968
237	598.206521739	50.3401360544
238	599.02173913	53.0563186813
239	599.836956522	51.7614091274
240	600.652173913	55.3106212426
241	601.467391304	56.9014084506
242	602.282608696	58.7500000001
243	603.097826087	59.3306288034
244	603.913043478	66.2596662597
245	604.72826087	70.7058343533
246	605.543478261	72.3630417006
247	606.358695652	77.9050736499
248	607.173913043	79.7127747824
249	607.989130435	84.2227196999
250	608.804347826	90.5818334029
251	609.619565217	94.6162326755
252	610.434782609	98.2010385755
253	611.25	113.100388242
254	612.065217391	108.222833118
255	612.880434783	111.764864283
256	613.695652174	119.352051836
257	614.510869565	123.450021088
258	615.326086957	118.98723822
259	616.141304348	122.767857143
260	616.956521739	126.803952043
261	617.77173913	130.282473309
