count	wavelength	intensity
0	405.0	67.606992164
1	405.815217391	65.6055363322
2	406.630434783	65.3467399191
3	407.445652174	64.3155405745
4	408.260869565	60.4341736695
5	409.076086957	59.9686028257
6	409.891304348	59.0551181102
7	410.706521739	59.0321034978
8	411.52173913	58.8185295368
9	412.336956522	58.2393238131
10	413.152173913	58.1403066304
11	413.967391304	54.9953314659
12	414.782608696	55.2906877037
13	415.597826087	54.1792437298
14	416.413043478	53.7414965986
15	417.22826087	53.8107311016
16	418.043478261	52.9196897673
17	418.858695652	53.0111089456
18	419.673913043	52.8745357965
19	420.489130435	53.1187122736
20	421.304347826	52.0568436799
21	422.119565217	49.9691081216
22	422.934782609	48.8647412067
23	423.75	49.3333333333
24	424.565217391	47.7920626048
25	425.380434783	47.1286060933
26	426.195652174	46.5864504316
27	427.010869565	46.2266564339
28	427.826086957	45.5452957325
29	428.641304348	45.255653884
30	429.456521739	45.1807228916
31	430.27173913	45.4415954416
32	431.086956522	44.8998602701
33	431.902173913	45.3400503778
34	432.717391304	45.1866846604
35	433.532608696	45.9284116331
36	434.347826087	45.106196628
37	435.163043478	45.0592034446
38	435.97826087	45.3359007274
39	436.793478261	44.7076084678
40	437.608695652	44.6314925067
41	438.423913043	44.9907426455
42	439.239130435	43.9551641313
43	440.054347826	44.037427832
44	440.869565217	44.1281847134
45	441.684782609	43.4323690383
46	442.5	42.9646786335
47	443.315217391	42.2070534699
48	444.130434783	42.7138531416
49	444.945652174	42.9359193763
50	445.760869565	42.8949357521
51	446.576086957	42.6349325337
52	447.391304348	41.5129151292
53	448.206521739	41.5558019217
54	449.02173913	41.0242290749
55	449.836956522	40.6912948061
56	450.652173913	40.3105022831
57	451.467391304	40.0254360465
58	452.282608696	39.2325623095
59	453.097826087	38.5522788204
60	453.913043478	37.6958689459
61	454.72826087	36.72823219
62	455.543478261	36.3539823009
63	456.358695652	35.6091505586
64	457.173913043	34.3145793416
65	457.989130435	33.9110644258
66	458.804347826	32.8342618384
67	459.619565217	32.1528262387
68	460.434782609	31.3947414243
69	461.25	30.6555381673
70	462.065217391	29.9010244834
71	462.880434783	29.5971978984
72	463.695652174	28.8250652742
73	464.510869565	28.1141266527
74	465.326086957	28.1244537668
75	466.141304348	27.6188805054
76	466.956521739	26.8898678414
77	467.77173913	26.1829652997
78	468.586956522	26.3874160481
79	469.402173913	25.6687333924
80	470.217391304	25.7965818095
81	471.032608696	25.5780346821
82	471.847826087	24.8323364147
83	472.663043478	26.1986611181
84	473.47826087	25.7421065064
85	474.293478261	24.3657817109
86	475.108695652	24.5094155244
87	475.923913043	24.4730460735
88	476.739130435	23.0913580247
89	477.554347826	23.1021011509
90	478.369565217	23.5363658347
91	479.184782609	21.6647947086
92	480.0	22.6297466972
93	480.815217391	22.5676250862
94	481.630434783	22.0991871834
95	482.445652174	22.2744402571
96	483.260869565	22.4703771262
97	484.076086957	22.3973055873
98	484.891304348	21.9267370617
99	485.706521739	21.5603791576
100	486.52173913	21.7079789018
101	487.336956522	21.8917311124
102	488.152173913	22.3776223776
103	488.967391304	22.7635203712
104	489.782608696	21.6222879684
105	490.597826087	21.4213811154
106	491.413043478	21.1704422869
107	492.22826087	22.6020892688
108	493.043478261	21.6598639456
109	493.858695652	21.5256008359
110	494.673913043	22.2820459723
111	495.489130435	21.7641751683
112	496.304347826	22.9097539832
113	497.119565217	22.2502099076
114	497.934782609	23.6028368794
115	498.75	23.4224826439
116	499.565217391	22.5423728814
117	500.380434783	24.022274577
118	501.195652174	23.9572192513
119	502.010869565	25.7929226737
120	502.826086957	22.6166995398
121	503.641304348	23.6861367296
122	504.456521739	24.4047619048
123	505.27173913	25.5430773014
124	506.086956522	25.7370421142
125	506.902173913	25.5520024364
126	507.717391304	24.7801031241
127	508.532608696	26.7320040554
128	509.347826087	25.0472334683
129	510.163043478	25.6978847212
130	510.97826087	27.4014936904
131	511.793478261	27.4648440569
132	512.608695652	27.0252961896
133	513.423913043	27.0580503834
134	514.239130435	27.8114641442
135	515.054347826	27.8753875683
136	515.869565217	27.3026579941
137	516.684782609	28.2619399311
138	517.5	26.9174124844
139	518.315217391	27.8532918217
140	519.130434783	28.5887341005
141	519.945652174	29.0788930194
142	520.760869565	28.5369081181
143	521.576086957	28.7965497222
144	522.391304348	28.8413724515
145	523.206521739	29.6858071506
146	524.02173913	29.7145936375
147	524.836956522	30.2251173484
148	525.652173913	30.3813181272
149	526.467391304	31.2418883056
150	527.282608696	31.2117859431
151	528.097826087	31.5987363606
152	528.913043478	30.9060026743
153	529.72826087	32.1501309281
154	530.543478261	32.3342984584
155	531.358695652	31.8492678216
156	532.173913043	32.5975700277
157	532.989130435	32.916650339
158	533.804347826	32.9467455621
159	534.619565217	33.4571902917
160	535.434782609	33.180676614
161	536.25	33.4911854829
162	537.065217391	33.1373213467
163	537.880434783	34.687650554
164	538.695652174	33.3757389808
165	539.510869565	34.3111860731
166	540.326086957	35.4534530865
167	541.141304348	35.5179704017
168	541.956521739	36.2185516714
169	542.77173913	37.6623376623
170	543.586956522	37.642313994
171	544.402173913	38.9130249595
172	545.217391304	39.2981251877
173	546.032608696	39.9092970522
174	546.847826087	39.6494708995
175	547.663043478	39.8669015463
176	548.47826087	42.797369994
177	549.293478261	44.4454845428
178	550.108695652	43.3924700261
179	550.923913043	46.6843501326
180	551.739130435	46.1723150799
181	552.554347826	48.6808854746
182	553.369565217	48.186776385
183	554.184782609	48.8693891326
184	555.0	50.2841108383
185	555.815217391	52.592020592
186	556.630434783	53.4029772787
187	557.445652174	53.1761238025
188	558.260869565	54.4722339975
189	559.076086957	53.9080886907
190	559.891304348	57.3138155786
191	560.706521739	55.6677890011
192	561.52173913	56.5022421525
193	562.336956522	56.7151411463
194	563.152173913	54.8026805659
195	563.967391304	55.4151335786
196	564.782608696	55.2527472527
197	565.597826087	54.1893741446
198	566.413043478	57.0233490904
199	567.22826087	57.0989498847
200	568.043478261	52.6422107304
201	568.858695652	55.1065860643
202	569.673913043	57.445044736
203	570.489130435	51.1548655811
204	571.304347826	53.8286911726
205	572.119565217	54.6785319362
206	572.934782609	55.5813462756
207	573.75	55.3498918947
208	574.565217391	54.2179628947
209	575.380434783	53.6720133041
210	576.195652174	53.4499514091
211	577.010869565	54.4807889207
212	577.826086957	57.1428571429
213	578.641304348	55.2503052503
214	579.456521739	53.9162654838
215	580.27173913	54.8503220918
216	581.086956522	54.9356572732
217	581.902173913	54.1413373859
218	582.717391304	54.0192140685
