count	wavelength	intensity
0	405.0	80.2089612216
1	405.815217391	80.3537101115
2	406.630434783	79.0573926264
3	407.445652174	79.6163069544
4	408.260869565	77.5210084034
5	409.076086957	79.1836734694
6	409.891304348	79.5275590551
7	410.706521739	79.5400095831
8	411.52173913	73.9805314391
9	412.336956522	74.3805596265
10	413.152173913	72.5255762357
11	413.967391304	69.3681917211
12	414.782608696	70.3428037882
13	415.597826087	69.0485337431
14	416.413043478	69.0873015873
15	417.22826087	71.8994153257
16	418.043478261	67.0052539405
17	418.858695652	69.2314688495
18	419.673913043	66.5679499835
19	420.489130435	66.1011523688
20	421.304347826	64.9214659686
21	422.119565217	64.8729446936
22	422.934782609	63.6831569917
23	423.75	64.4886363636
24	424.565217391	65.0642817216
25	425.380434783	63.6020490698
26	426.195652174	63.6149620717
27	427.010869565	63.5712458429
28	427.826086957	63.039680559
29	428.641304348	63.3235004916
30	429.456521739	63.0120481928
31	430.27173913	62.962962963
32	431.086956522	63.1346064276
33	431.902173913	62.9493931761
34	432.717391304	62.1232568601
35	433.532608696	62.4832214765
36	434.347826087	62.0319684695
37	435.163043478	61.8729817008
38	435.97826087	62.3020967052
39	436.793478261	61.4127017397
40	437.608695652	61.0346951345
41	438.423913043	61.304258383
42	439.239130435	60.2081665332
43	440.054347826	60.1234322118
44	440.869565217	60.6886942675
45	441.684782609	60.4769351056
46	442.5	59.9884192241
47	443.315217391	59.2718998862
48	444.130434783	59.4625283876
49	444.945652174	60.0494390569
50	445.760869565	59.977324263
51	446.576086957	60.0449775112
52	447.391304348	59.2804428044
53	448.206521739	59.1832963784
54	449.02173913	58.8472834068
55	449.836956522	58.6869056328
56	450.652173913	58.7945205479
57	451.467391304	58.6845930233
58	452.282608696	57.934373319
59	453.097826087	57.6407506702
60	453.913043478	57.1581196581
61	454.72826087	56.5699208443
62	455.543478261	56.8318584071
63	456.358695652	56.8008512148
64	457.173913043	55.3562097196
65	457.989130435	55.3396358543
66	458.804347826	54.7701949861
67	459.619565217	54.6929518493
68	460.434782609	54.1528817691
69	461.25	53.4515736394
70	462.065217391	52.8911269318
71	462.880434783	52.942206655
72	463.695652174	51.5578764143
73	464.510869565	50.7828810021
74	465.326086957	50.6554798112
75	466.141304348	49.7631163362
76	466.956521739	49.8325991189
77	467.77173913	49.2113564669
78	468.586956522	48.5683987275
79	469.402173913	47.4756421612
80	470.217391304	47.6694155611
81	471.032608696	47.9949421965
82	471.847826087	46.6920427769
83	472.663043478	46.7884928533
84	473.47826087	47.2349807092
85	474.293478261	46.5339233038
86	475.108695652	46.1638010723
87	475.923913043	46.4092520052
88	476.739130435	44.6481481481
89	477.554347826	43.8470066519
90	478.369565217	45.0441978559
91	479.184782609	45.4885810558
92	480.0	44.972543079
93	480.815217391	44.2854417096
94	481.630434783	43.1852986217
95	482.445652174	43.4774255524
96	483.260869565	42.5101214575
97	484.076086957	42.3573103987
98	484.891304348	41.1224090731
99	485.706521739	40.7734589713
100	486.52173913	41.4585810543
101	487.336956522	39.2821733095
102	488.152173913	38.7653830885
103	488.967391304	38.7559808612
104	489.782608696	39.3162393162
105	490.597826087	37.8498087377
106	491.413043478	37.8236245955
107	492.22826087	37.2608872609
108	493.043478261	37.0
109	493.858695652	36.6789819376
110	494.673913043	36.3843445848
111	495.489130435	35.394545076
112	496.304347826	35.8024691358
113	497.119565217	35.5583543241
114	497.934782609	35.5106382979
115	498.75	36.0987024037
116	499.565217391	36.6553672316
117	500.380434783	35.1467123581
118	501.195652174	36.4923747277
119	502.010869565	36.2166885103
120	502.826086957	36.2334721309
121	503.641304348	36.1660079051
122	504.456521739	37.2767857143
123	505.27173913	37.8494138864
124	506.086956522	39.1488081811
125	506.902173913	41.0363505841
126	507.717391304	38.8762511374
127	508.532608696	41.0656753408
128	509.347826087	40.865497076
129	510.163043478	41.1653691908
130	510.97826087	42.2285174693
131	511.793478261	42.410244324
132	512.608695652	43.3957732949
133	513.423913043	45.00562249
134	514.239130435	44.4821731749
135	515.054347826	45.2719129878
136	515.869565217	45.7656789529
137	516.684782609	45.4948301329
138	517.5	46.7599410898
139	518.315217391	47.9269496545
140	519.130434783	49.4225721785
141	519.945652174	48.624535316
142	520.760869565	49.7880827724
143	521.576086957	49.6640955462
144	522.391304348	51.0442565888
145	523.206521739	52.3390342052
146	524.02173913	53.0397798349
147	524.836956522	53.1755915318
148	525.652173913	54.1099344428
149	526.467391304	54.5454545455
150	527.282608696	55.7910673732
151	528.097826087	56.7397329302
152	528.913043478	57.3235517329
153	529.72826087	57.7138492872
154	530.543478261	57.9603255341
155	531.358695652	59.36459134
156	532.173913043	59.4718131031
157	532.989130435	59.4498217015
158	533.804347826	60.4358974359
159	534.619565217	60.8427543679
160	535.434782609	61.8148914168
161	536.25	61.9244697362
162	537.065217391	62.5291526302
163	537.880434783	63.5177453027
164	538.695652174	64.0387637507
165	539.510869565	63.7953536936
166	540.326086957	65.3163886683
167	541.141304348	65.0634249471
168	541.956521739	66.3531308788
169	542.77173913	66.7478354978
170	543.586956522	67.9410158383
171	544.402173913	68.5215946844
172	545.217391304	69.4924707195
173	546.032608696	71.2301587302
174	546.847826087	72.7141203704
175	547.663043478	73.6054022314
176	548.47826087	74.865511058
177	549.293478261	76.2397322787
178	550.108695652	77.7020749458
179	550.923913043	80.4175893705
180	551.739130435	82.385261797
181	552.554347826	84.6254927727
182	553.369565217	85.5994641661
183	554.184782609	87.2764090449
184	555.0	91.1609961417
185	555.815217391	93.4774774775
186	556.630434783	94.478976234
187	557.445652174	96.0943257185
188	558.260869565	96.884272997
189	559.076086957	96.6926793014
190	559.891304348	97.6065818998
191	560.706521739	98.2416760195
192	561.52173913	97.6457399103
193	562.336956522	97.6796407186
194	563.152173913	97.6545048399
195	563.967391304	97.9469951474
196	564.782608696	94.1071428571
197	565.597826087	97.9469951474
198	566.413043478	96.8715083799
199	567.22826087	97.2253052164
200	568.043478261	92.7248303167
201	568.858695652	96.844840386
202	569.673913043	96.9156447417
203	570.489130435	92.7205603936
204	571.304347826	92.3311577753
205	572.119565217	95.9085882787
206	572.934782609	96.011816839
207	573.75	95.6072351421
208	574.565217391	94.6553630667
209	575.380434783	90.9688321444
210	576.195652174	91.0926870748
211	577.010869565	90.7440588459
212	577.826086957	95.0480413895
213	578.641304348	91.4115646259
214	579.456521739	91.2296478605
215	580.27173913	90.4461917395
216	581.086956522	90.7212086659
217	581.902173913	90.5442629178
218	582.717391304	90.5442629178
219	583.532608696	94.7289719626
220	584.347826087	89.9642857143
221	585.163043478	90.9894837478
222	585.97826087	90.3592727971
223	586.793478261	95.4682779456
224	587.608695652	90.6069364162
225	588.423913043	91.1740518574
226	589.239130435	91.7024180969
227	590.054347826	91.3442846032
228	590.869565217	90.918989547
229	591.684782609	91.4437719643
230	592.5	91.1091549296
231	593.315217391	90.8778476043
232	594.130434783	90.5273437498
233	594.945652174	90.6496062994
234	595.760869565	90.8676586521
235	596.576086957	90.7066508314
236	597.391304348	90.3273809524
237	598.206521739	90.8238295318
238	599.02173913	90.0315504808
239	599.836956522	89.7718174541
240	600.652173913	90.1803607216
241	601.467391304	89.5623742453
242	602.282608696	89.4027217744
243	603.097826087	89.6044624748
244	603.913043478	89.0949328449
245	604.72826087	89.0452876377
246	605.543478261	89.1123262468
247	606.358695652	88.609860884
248	607.173913043	90.1726462051
249	607.989130435	88.9082673884
250	608.804347826	91.2384889073
251	609.619565217	95.6793364135
252	610.434782609	101.380351844
253	611.25	112.146422629
254	612.065217391	115.863518758
255	612.880434783	122.06484274
256	613.695652174	126.714362851
257	614.510869565	137.579080557
258	615.326086957	137.557264398
259	616.141304348	143.022486772
260	616.956521739	149.36722913
261	617.77173913	153.511454626
262	618.586956522	158.743869818
263	619.402173913	161.4842689
264	620.217391304	164.736960431
265	621.032608696	170.367207515
266	621.847826087	159.745852829
267	622.663043478	153.860974106
268	623.47826087	149.821640904
269	624.293478261	146.185836502
270	625.108695652	139.108505998
271	625.923913043	132.742505169
272	626.739130435	127.425373134
273	627.554347826	129.347486731
274	628.369565217	123.02436126
275	629.184782609	113.293795621
276	630.0	110.734280792
277	630.815217391	110.768821023
278	631.630434783	105.106644791
279	632.445652174	102.523260518
280	633.260869565	101.932543906
281	634.076086957	98.9774214658
282	634.891304348	98.0731865286
283	635.706521739	97.7132974635
284	636.52173913	100.378310214
285	637.336956522	95.6909937888
286	638.152173913	99.1372748033
287	638.967391304	98.5264227642
288	639.782608696	99.0241397021
289	640.597826087	97.8995901639
290	641.413043478	91.8870967743
291	642.22826087	91.6355232101
292	643.043478261	90.8472185777
293	643.858695652	93.9417375612
294	644.673913043	93.1222424085
295	645.489130435	93.1115767417
296	646.304347826	87.4832887702
297	647.119565217	88.6119735422
298	647.934782609	93.7195452084
299	648.75	88.1572558267
300	649.565217391	87.6170673748
301	650.380434783	87.2227681077
302	651.195652174	87.7984701174
303	652.010869565	87.8133954153
304	652.826086957	87.2621107266
305	653.641304348	89.5022883295
306	654.456521739	88.0369351961
307	655.27173913	90.3568268947
308	656.086956522	91.9113241462
309	656.902173913	90.8150851582
310	657.717391304	90.4892130052
311	658.532608696	88.1273674242
312	659.347826087	88.1237965342
313	660.163043478	89.7534982101
314	660.97826087	87.9883131744
315	661.793478261	92.4564796905
316	662.608695652	87.5916972326
317	663.423913043	93.1137724551
318	664.239130435	94.1156577612
319	665.054347826	89.6610094972
320	665.869565217	94.6029563424
321	666.684782609	90.6893186656
