count	wavelength	intensity
0	405.0	64.2665351526
1	405.815217391	61.7454825067
2	406.630434783	63.8540478905
3	407.445652174	62.383659506
4	408.260869565	59.8739495798
5	409.076086957	60.4761904762
6	409.891304348	59.6456692913
7	410.706521739	62.1684017947
8	411.52173913	61.0190300798
9	412.336956522	60.9658839167
10	413.152173913	60.569456428
11	413.967391304	57.8682755153
12	414.782608696	60.2907829799
13	415.597826087	59.1112818543
14	416.413043478	60.3670634921
15	417.22826087	58.6632491015
16	418.043478261	60.8056042032
17	418.858695652	59.6494910274
18	419.673913043	59.1287619915
19	420.489130435	60.2383531961
20	421.304347826	57.2308504554
21	422.119565217	58.0140935298
22	422.934782609	57.3226030475
23	423.75	58.5064935065
24	424.565217391	58.1628470281
25	425.380434783	56.0258829873
26	426.195652174	58.3974191298
27	427.010869565	56.2036326426
28	427.826086957	56.4761667083
29	428.641304348	57.2763028515
30	429.456521739	57.7590361446
31	430.27173913	58.3808167142
32	431.086956522	58.9427107592
33	431.902173913	59.6061369361
34	432.717391304	59.8065677013
35	433.532608696	61.2975391499
36	434.347826087	61.9224874097
37	435.163043478	61.9375672766
38	435.97826087	63.0081300813
39	436.793478261	62.7122196604
40	437.608695652	63.1492506672
41	438.423913043	64.3077556058
42	439.239130435	64.0712570056
43	440.054347826	64.5630101533
44	440.869565217	65.4458598726
45	441.684782609	65.2071931196
46	442.5	65.6050955414
47	443.315217391	65.1118695487
48	444.130434783	65.9727479182
49	444.945652174	66.5906065792
50	445.760869565	66.9312169312
51	446.576086957	67.5224887556
52	447.391304348	67.0848708487
53	448.206521739	67.8677014043
54	449.02173913	67.7496328928
55	449.836956522	67.8858814923
56	450.652173913	68.9315068493
57	451.467391304	68.8771802326
58	452.282608696	68.1190604268
59	453.097826087	68.382484361
60	453.913043478	68.6253561254
61	454.72826087	68.0386983289
62	455.543478261	68.9026548673
63	456.358695652	68.9838623869
64	457.173913043	68.2111130465
65	457.989130435	68.7850140056
66	458.804347826	67.9317548747
67	459.619565217	67.9867411026
68	460.434782609	68.1699460212
69	461.25	68.4402712572
70	462.065217391	68.1194651849
71	462.880434783	68.8966725044
72	463.695652174	68.546562228
73	464.510869565	68.3716075157
74	465.326086957	68.6068869079
75	466.141304348	68.5032461835
76	466.956521739	68.3171806167
77	467.77173913	67.4553101998
78	468.586956522	67.1968893602
79	469.402173913	66.6253321523
80	470.217391304	67.1208318394
81	471.032608696	66.7449421965
82	471.847826087	65.9778865325
83	472.663043478	64.9538628551
84	473.47826087	64.9458019475
85	474.293478261	64.2146017699
86	475.108695652	63.4498058791
87	475.923913043	63.0665920537
88	476.739130435	61.1296296296
89	477.554347826	60.2919438285
90	478.369565217	60.4852360354
91	479.184782609	59.0977162112
92	480.0	58.2465442151
93	480.815217391	57.1074222477
94	481.630434783	55.9915773354
95	482.445652174	55.0624399616
96	483.260869565	54.5980335454
97	484.076086957	54.6325254105
98	484.891304348	53.5588580368
99	485.706521739	52.5323910483
100	486.52173913	51.9619500595
101	487.336956522	51.9135435257
102	488.152173913	51.548233426
103	488.967391304	51.1762360447
104	489.782608696	49.5192307692
105	490.597826087	50.4731226092
106	491.413043478	50.2629449838
107	492.22826087	49.9185999186
108	493.043478261	49.4285714286
109	493.858695652	49.1174055829
110	494.673913043	48.8092772831
111	495.489130435	48.8444722049
112	496.304347826	47.959824231
113	497.119565217	47.2292191436
114	497.934782609	47.4255319149
115	498.75	47.755796639
116	499.565217391	46.5254237288
117	500.380434783	47.610480474
118	501.195652174	46.0566448802
119	502.010869565	46.1773700306
120	502.826086957	45.6059609906
121	503.641304348	46.8452642366
122	504.456521739	45.2232142857
123	505.27173913	44.9278629396
124	506.086956522	46.9689450335
125	506.902173913	46.1626313385
126	507.717391304	44.9954504095
127	508.532608696	47.5340768278
128	509.347826087	46.432748538
129	510.163043478	48.3132814343
130	510.97826087	46.4825306893
131	511.793478261	47.2118783879
132	512.608695652	47.3102785783
133	513.423913043	48.3726907631
134	514.239130435	49.1810170588
135	515.054347826	46.641074856
136	515.869565217	48.3353408817
137	516.684782609	50.1296569834
138	517.5	48.6990672558
139	518.315217391	50.7008884501
140	519.130434783	50.9448818898
141	519.945652174	48.6741016109
142	520.760869565	51.2191473448
143	521.576086957	51.4356805175
144	522.391304348	50.7956240676
145	523.206521739	52.8236083166
146	524.02173913	52.3592694521
147	524.836956522	51.8057285181
148	525.652173913	53.2257522273
149	526.467391304	54.2869134559
150	527.282608696	53.750525696
151	528.097826087	53.9917695473
152	528.913043478	53.9134834303
153	529.72826087	54.4195519348
154	530.543478261	54.499830451
155	531.358695652	56.7768383295
156	532.173913043	52.4885728796
157	532.989130435	52.9546612328
158	533.804347826	53.4102564103
159	534.619565217	55.9095580678
160	535.434782609	56.3667700793
161	536.25	53.1557165028
162	537.065217391	55.6137168524
163	537.880434783	53.9144050104
164	538.695652174	53.7454164484
165	539.510869565	55.9923431654
166	540.326086957	55.8644426794
167	541.141304348	56.1575052854
168	541.956521739	57.0545552271
169	542.77173913	59.9711399711
170	543.586956522	59.0387766248
171	544.402173913	60.3266888151
172	545.217391304	63.3575013943
173	546.032608696	64.6409674981
174	546.847826087	64.525462963
175	547.663043478	68.6788021139
176	548.47826087	70.165371588
177	549.293478261	71.9440219045
178	550.108695652	73.335397956
179	550.923913043	72.4454286618
180	551.739130435	74.2404654169
181	552.554347826	78.7385019711
182	553.369565217	79.9821388703
183	554.184782609	78.8727640904
184	555.0	84.9292645855
185	555.815217391	87.3705705706
186	556.630434783	89.1943936624
187	557.445652174	87.6197494473
188	558.260869565	91.4737883284
189	559.076086957	88.1456707544
190	559.891304348	92.705061082
191	560.706521739	92.7397431101
192	561.52173913	89.3497757848
193	562.336956522	89.7829341317
194	563.152173913	93.2439811368
195	563.967391304	89.4363568496
196	564.782608696	89.7523809524
197	565.597826087	93.8857782755
198	566.413043478	94.1527001862
199	567.22826087	93.4073251942
200	568.043478261	86.2203054299
201	568.858695652	90.4602821084
202	569.673913043	94.7355382138
203	570.489130435	91.2533131388
204	571.304347826	91.2977676882
205	572.119565217	90.6008109104
206	572.934782609	94.0620384047
207	573.75	94.6573151224
208	574.565217391	95.1075070647
209	575.380434783	86.8146826889
210	576.195652174	87.7267573696
211	577.010869565	91.2863070541
212	577.826086957	95.2352796255
213	578.641304348	87.2661564626
214	579.456521739	88.0348352895
215	580.27173913	87.9239295189
216	581.086956522	91.0680349677
217	581.902173913	87.9440539512
218	582.717391304	87.5522416412
219	583.532608696	91.738317757
220	584.347826087	91.2
221	585.163043478	91.2810707459
222	585.97826087	88.2671219698
223	586.793478261	96.273917422
224	587.608695652	87.7167630058
225	588.423913043	91.3312693497
226	589.239130435	88.631045242
227	590.054347826	88.0273133746
228	590.869565217	87.2531939605
229	591.684782609	91.9953143305
230	592.5	87.734741784
231	593.315217391	87.6006480756
232	594.130434783	90.3124999998
233	594.945652174	90.62992126
234	595.760869565	91.4465904614
235	596.576086957	88.145783848
236	597.391304348	87.7976190476
