count	wavelength	intensity
0	405.0	72.9113924051
1	405.815217391	71.1111111111
2	406.630434783	71.7597871532
3	407.445652174	73.5510053496
4	408.260869565	70.756302521
5	409.076086957	70.7482993197
6	409.891304348	68.75
7	410.706521739	69.7172975563
8	411.52173913	69.2449355433
9	412.336956522	70.0487372619
10	413.152173913	69.5427092321
11	413.967391304	67.8921568627
12	414.782608696	68.787515006
13	415.597826087	70.1114099116
14	416.413043478	71.837797619
15	417.22826087	71.4233973198
16	418.043478261	70.8581436077
17	418.858695652	72.5102319236
18	419.673913043	73.3464955577
19	420.489130435	73.271446863
20	421.304347826	72.2821065599
21	422.119565217	73.3333333333
22	422.934782609	74.0634829854
23	423.75	76.0227272727
24	424.565217391	77.0262716601
25	425.380434783	76.166082502
26	426.195652174	76.4582788386
27	427.010869565	77.9994883602
28	427.826086957	78.462690292
29	428.641304348	79.3264503441
30	429.456521739	80.1204819277
31	430.27173913	81.9563152896
32	431.086956522	82.3707498836
33	431.902173913	83.6272040302
34	432.717391304	83.7156995052
35	433.532608696	85.6375838926
36	434.347826087	85.5703963214
37	435.163043478	85.3606027987
38	435.97826087	87.1416345742
39	436.793478261	88.1995388807
40	437.608695652	88.0927940875
41	438.423913043	89.8374819996
42	439.239130435	88.8710968775
43	440.054347826	90.125423054
44	440.869565217	91.2022292994
45	441.684782609	91.3017982799
46	442.5	91.6425400502
47	443.315217391	91.2779673872
48	444.130434783	92.4867524603
49	444.945652174	94.5426887241
50	445.760869565	95.8616780045
51	446.576086957	95.1086956522
52	447.391304348	96.1623616236
53	448.206521739	96.8773096822
54	449.02173913	96.6226138032
55	449.836956522	97.2750548647
56	450.652173913	99.5799086758
57	451.467391304	99.582122093
58	452.282608696	99.1931145777
59	453.097826087	99.1420911528
60	453.913043478	100.195868946
61	454.72826087	99.9824098505
62	455.543478261	100.336283186
63	456.358695652	100.975350239
64	457.173913043	99.7561400453
65	457.989130435	100.577731092
66	458.804347826	100.069637883
67	459.619565217	99.9127704117
68	460.434782609	100.104475013
69	461.25	99.6174578334
70	462.065217391	98.2983156798
71	462.880434783	99.1943957968
72	463.695652174	97.5282854656
73	464.510869565	97.0076548365
74	465.326086957	96.2768746723
75	466.141304348	95.4904369188
76	466.956521739	94.872246696
77	467.77173913	93.8485804416
78	468.586956522	93.2484977024
79	469.402173913	90.7883082374
80	470.217391304	91.3230548584
81	471.032608696	89.8663294798
82	471.847826087	89.360159507
83	472.663043478	87.6786683553
84	473.47826087	88.0213117766
85	474.293478261	86.0435103245
86	475.108695652	84.2854501756
87	475.923913043	84.5737735497
88	476.739130435	81.7407407407
89	477.554347826	80.8203991131
90	478.369565217	80.1203686289
91	479.184782609	78.4724822164
92	480.0	79.3220980875
93	480.815217391	77.9813012784
94	481.630434783	76.6462480858
95	482.445652174	75.7925072046
96	483.260869565	74.3975322923
97	484.076086957	75.3322908522
98	484.891304348	73.4649980446
99	485.706521739	72.6344719278
100	486.52173913	72.4137931034
101	487.336956522	70.7317073171
102	488.152173913	69.5117109964
103	488.967391304	67.7033492823
104	489.782608696	66.9871794872
105	490.597826087	65.2506543185
106	491.413043478	64.6035598706
107	492.22826087	64.3874643875
108	493.043478261	63.1632653061
109	493.858695652	62.8489326765
110	494.673913043	61.8140401739
111	495.489130435	61.1492816989
112	496.304347826	60.5566017995
113	497.119565217	59.1099916037
114	497.934782609	57.6595744681
115	498.75	57.0304190598
116	499.565217391	55.8898305085
117	500.380434783	56.2218890555
118	501.195652174	56.3834422658
119	502.010869565	56.0725207514
120	502.826086957	55.862371247
121	503.641304348	54.457619675
122	504.456521739	55.5357142857
123	505.27173913	53.8322813345
124	506.086956522	52.9889465373
125	506.902173913	54.5682960256
126	507.717391304	53.8671519563
127	508.532608696	54.3912639405
128	509.347826087	54.5263157895
129	510.163043478	53.5975465912
130	510.97826087	53.9187913126
131	511.793478261	54.6311572001
132	512.608695652	55.2113352546
133	513.423913043	54.8915662651
134	514.239130435	55.3237933544
135	515.054347826	55.3742802303
136	515.869565217	55.8901469525
137	516.684782609	57.1885770556
138	517.5	57.1428571429
139	518.315217391	57.3543928924
140	519.130434783	56.8159448819
141	519.945652174	57.521685254
142	520.760869565	57.4669658439
143	521.576086957	57.8999751182
144	522.391304348	58.9756340129
145	523.206521739	59.3058350101
146	524.02173913	58.8191143358
147	524.836956522	58.7546699875
148	525.652173913	59.6822995461
149	526.467391304	60.2870813397
150	527.282608696	61.0143830431
151	528.097826087	61.2496850592
152	528.913043478	62.1553250696
153	529.72826087	63.0346232179
154	530.543478261	63.1739572737
155	531.358695652	63.0028183449
156	532.173913043	62.9253428136
157	532.989130435	63.117677025
158	533.804347826	64.6666666667
159	534.619565217	65.5190133607
160	535.434782609	65.6411582213
161	536.25	65.5716502845
162	537.065217391	65.690593418
163	537.880434783	65.4227557411
164	538.695652174	66.9722367732
165	539.510869565	66.6405638215
166	540.326086957	66.6401906275
167	541.141304348	66.8076109937
168	541.956521739	70.1746842247
169	542.77173913	67.4242424242
170	543.586956522	68.6783178591
171	544.402173913	69.0199335548
172	545.217391304	68.4885666481
173	546.032608696	69.3594104308
174	546.847826087	70.8912037037
175	547.663043478	70.5813270699
176	548.47826087	68.7985654513
177	549.293478261	69.8813507758
178	550.108695652	72.4104469908
179	550.923913043	70.8003796267
180	551.739130435	70.5559146736
181	552.554347826	72.5010950504
182	553.369565217	72.9091315026
183	554.184782609	72.6830914614
184	555.0	74.6030632527
185	555.815217391	76.3003003003
186	556.630434783	74.9201706277
187	557.445652174	74.438712847
188	558.260869565	74.3818001978
189	559.076086957	73.053387836
190	559.891304348	73.2385938669
191	560.706521739	72.5876044395
192	561.52173913	72.9446935725
193	562.336956522	73.4930139721
194	563.152173913	73.3482253661
195	563.967391304	70.6980216499
196	564.782608696	70.9333333333
197	565.597826087	74.1769316909
198	566.413043478	74.0111731844
199	567.22826087	74.1102478727
200	568.043478261	70.7013574661
201	568.858695652	75.0309329374
202	569.673913043	74.5596432553
203	570.489130435	71.6016660355
204	571.304347826	70.9799470299
205	572.119565217	73.4439120285
206	572.934782609	74.0915805022
207	573.75	73.946105574
208	574.565217391	76.8785214049
209	575.380434783	73.0647497453
210	576.195652174	71.3907785336
211	577.010869565	71.2561297625
212	577.826086957	74.5799457995
213	578.641304348	71.0506424792
214	579.456521739	70.9201060203
215	580.27173913	71.352785146
216	581.086956522	70.5815279361
217	581.902173913	70.0607902734
218	582.717391304	67.8903875379
219	583.532608696	76.3898531375
220	584.347826087	69.6761904762
221	585.163043478	70.019120459
222	585.97826087	69.9115044246
223	586.793478261	73.7160120846
224	587.608695652	70.5202312139
225	588.423913043	69.8529411763
226	589.239130435	70.8268330735
227	590.054347826	70.762052877
228	590.869565217	69.2605497484
229	591.684782609	69.4650527139
230	592.5	67.2315140845
231	593.315217391	70.3849175178
232	594.130434783	69.4921874999
233	594.945652174	72.3847019124
234	595.760869565	72.0479756744
235	596.576086957	70.2296120348
236	597.391304348	68.8492063492
237	598.206521739	71.7286914766
238	599.02173913	69.5112179487
239	599.836956522	69.6957566054
240	600.652173913	69.4989979961
241	601.467391304	69.4969818912
242	602.282608696	69.8790322582
243	603.097826087	70.2231237324
244	603.913043478	69.7191697192
245	604.72826087	71.8219968526
246	605.543478261	72.2754351126
247	606.358695652	69.7626841245
248	607.173913043	70.0124429699
249	607.989130435	69.4710537275
250	608.804347826	69.1921305984
251	609.619565217	69.634607308
252	610.434782609	70.0296735904
253	611.25	74.7801283575
254	612.065217391	69.5127210004
255	612.880434783	68.6772942699
256	613.695652174	69.1144708425
257	614.510869565	70.6312385773
258	615.326086957	68.1937172775
259	616.141304348	69.0035273369
260	616.956521739	69.6714031973
261	617.77173913	68.3274021351
262	618.586956522	68.5242978156
263	619.402173913	68.6736079673
264	620.217391304	67.2212230214
265	621.032608696	66.9940222032
266	621.847826087	63.8026371758
267	622.663043478	64.8229698785
268	623.47826087	64.464073382
269	624.293478261	64.6523628464
270	625.108695652	63.9403853144
271	625.923913043	63.921433494
272	626.739130435	66.7022032694
273	627.554347826	67.9696118222
274	628.369565217	68.5759556348
275	629.184782609	68.4462982274
276	630.0	68.0734998564
277	630.815217391	72.1083603895
278	631.630434783	72.2196179538
279	632.445652174	69.0668824164
280	633.260869565	73.2437466739
281	634.076086957	69.1361256544
282	634.891304348	69.5854922281
283	635.706521739	69.7668460159
284	636.52173913	74.814627995
285	637.336956522	71.9461697723
286	638.152173913	76.0551467479
287	638.967391304	75.8807588076
288	639.782608696	75.7678479712
289	640.597826087	75.737704918
290	641.413043478	71.0967741936
291	642.22826087	71.8069761343
292	643.043478261	72.5006559957
293	643.858695652	75.8958494457
294	644.673913043	75.9096807682
295	645.489130435	76.4099877772
296	646.304347826	72.4331550803
297	647.119565217	73.9200863932
298	647.934782609	73.7141310233
299	648.75	74.0843507213
300	649.565217391	74.4199049482
301	650.380434783	73.6103312745
302	651.195652174	72.5764941379
303	652.010869565	70.1378939827
304	652.826086957	73.0103806228
305	653.641304348	75.6674294432
306	654.456521739	73.2164090368
307	655.27173913	77.4756708935
308	656.086956522	77.4276013581
309	656.902173913	78.1508515815
310	657.717391304	75.6487389851
311	658.532608696	73.4848484848
312	659.347826087	72.1437740694
313	660.163043478	71.3878945655
314	660.97826087	73.9784243218
315	661.793478261	77.0943477326
316	662.608695652	74.2247415807
317	663.423913043	77.214459969
318	664.239130435	77.2314282494
319	665.054347826	75.272599367
320	665.869565217	77.6990947634
321	666.684782609	74.8048261177
322	667.5	74.5154343146
323	668.315217391	75.428988682
324	669.130434783	76.4822695035
325	669.945652174	74.2942050519
326	670.760869565	74.2161564
327	671.576086957	73.7020316027
328	672.391304348	73.9146991621
329	673.206521739	74.438950171
330	674.02173913	75.8900928791
331	674.836956522	74.0598618574
332	675.652173913	70.611239861
333	676.467391304	75.0684931508
334	677.282608696	73.7788198515
335	678.097826087	73.8199127329
336	678.913043478	74.74989996
337	679.72826087	73.7933785402
338	680.543478261	73.0202944689
339	681.358695652	73.3547351526
340	682.173913043	74.3868114194
341	682.989130435	73.7611697808
342	683.804347826	73.9983646769
343	684.619565217	74.8448489865
344	685.434782609	74.0157480313
345	686.25	72.4393253804
346	687.065217391	74.5
347	687.880434783	73.2247284879
348	688.695652174	71.9039595618
349	689.510869565	73.0313293817
350	690.326086957	74.669509595
351	691.141304348	75.8378908989
352	691.956521739	74.7151621386
353	692.77173913	73.0565371026
354	693.586956522	73.2979664014
355	694.402173913	74.0740740741
356	695.217391304	73.3878292461
357	696.032608696	73.143115942
358	696.847826087	73.4879490678
359	697.663043478	73.2478240954
360	698.47826087	74.4859813082
361	699.293478261	73.807296539
362	700.108695652	72.2481343285
363	700.923913043	72.4170616112
364	701.739130435	72.8187919461
365	702.554347826	72.9782082323
366	703.369565217	74.4618395302
367	704.184782609	73.6050460941
368	705.0	74.8007968126
369	705.815217391	75.5988023952
370	706.630434783	73.1155778893
371	707.445652174	73.643807574
372	708.260869565	72.8527607362
373	709.076086957	75.013014055
374	709.891304348	73.8993710692
375	710.706521739	73.8032614415
376	711.52173913	77.2159610111
377	712.336956522	73.0707823308
378	713.152173913	72.8202368136
379	713.967391304	73.3622089877
380	714.782608696	74.9414519906
381	715.597826087	74.7380033092
382	716.413043478	72.9018102032
383	717.22826087	74.2043551089
384	718.043478261	74.9880019195
385	718.858695652	74.4463373083
386	719.673913043	76.0842930654
387	720.489130435	74.7164228175
388	721.304347826	75.0248015873
389	722.119565217	73.7302977233
390	722.934782609	75.0062766759
391	723.75	74.531408308
392	724.565217391	74.3026204562
393	725.380434783	76.956296424
394	726.195652174	74.4552058114
395	727.010869565	74.3666753722
396	727.826086957	75.7562237889
397	728.641304348	76.6172506739
398	729.456521739	74.9123437924
399	730.27173913	77.4467887348
400	731.086956522	76.8242040738
401	731.902173913	74.7410655965
402	732.717391304	77.2727272727
403	733.532608696	76.141039135
404	734.347826087	75.5233572397
405	735.163043478	78.3138975072
406	735.97826087	76.0582928522
407	736.793478261	77.8194263364
408	737.608695652	79.0782493369
409	738.423913043	77.7771655279
410	739.239130435	76.5050167224
411	740.054347826	76.8107804604
412	740.869565217	77.5607958732
413	741.684782609	76.7490428124
414	742.5	78.4401213636
415	743.315217391	77.5049458862
416	744.130434783	80.044060951
417	744.945652174	79.039381671
418	745.760869565	78.5577694159
419	746.576086957	78.7933817595
420	747.391304348	76.2439807383
421	748.206521739	77.363356186
422	749.02173913	80.9260832625
423	749.836956522	78.8962929417
424	750.652173913	80.5732728809
425	751.467391304	80.4924242424
426	752.282608696	80.6060606061
427	753.097826087	80.1860758495
428	753.913043478	87.6784605835
429	754.72826087	79.3010752688
430	755.543478261	80.6216337522
431	756.358695652	83.8888888889
432	757.173913043	84.198929808
433	757.989130435	89.7295820814
434	758.804347826	86.1167002012
435	759.619565217	85.1102941176
436	760.434782609	87.4420564686
437	761.25	88.8235294118
438	762.065217391	84.8484848485
439	762.880434783	86.943620178
440	763.695652174	87.5939849624
441	764.510869565	85.9920239282
442	765.326086957	87.7016129033
443	766.141304348	87.8378378379
444	766.956521739	87.9345603272
445	767.77173913	91.4701257861
446	768.586956522	87.2131147542
447	769.402173913	88.6075949367
448	770.217391304	91.4814814815
449	771.032608696	88.8620828308
450	771.847826087	92.5324675325
451	772.663043478	89.8052691868
452	773.47826087	92.389937107
453	774.293478261	91.6978776529
454	775.108695652	93.1174089069
455	775.923913043	0.0
456	776.739130435	93.4426229508
457	777.554347826	0.0
458	778.369565217	0.0
459	779.184782609	0.0
