Wavelength	Intensity
0	405.0	84.6153846154
1	405.815217391	79.7101449275
2	406.630434783	80.8823529412
3	407.445652174	82.3529411765
4	408.260869565	82.8571428571
5	409.076086957	74.358974359
6	409.891304348	80.5555555556
7	410.706521739	72.8395061728
8	411.52173913	75.6097560976
9	412.336956522	73.8636363636
10	413.152173913	74.1935483871
11	413.967391304	73.4693877551
12	414.782608696	72.5490196078
13	415.597826087	71.0280373832
14	416.413043478	70.4347826087
15	417.22826087	70.3389830508
16	418.043478261	70.9677419355
17	418.858695652	68.1481481481
18	419.673913043	68.7943262411
19	420.489130435	70.3448275862
20	421.304347826	68.8741721854
21	422.119565217	64.375
22	422.934782609	67.6829268293
23	423.75	68.6046511628
24	424.565217391	70.4545454545
25	425.380434783	71.978021978
26	426.195652174	70.5263157895
27	427.010869565	71.5736040609
28	427.826086957	71.4285714286
29	428.641304348	72.5961538462
30	429.456521739	74.2857142857
31	430.27173913	72.4299065421
32	431.086956522	71.3636363636
33	431.902173913	73.6607142857
34	432.717391304	77.6785714286
35	433.532608696	76.5217391304
36	434.347826087	76.3948497854
37	435.163043478	77.0833333333
38	435.97826087	79.1666666667
39	436.793478261	81.7427385892
40	437.608695652	81.2244897959
41	438.423913043	81.5261044177
42	439.239130435	81.25
43	440.054347826	81.7829457364
44	440.869565217	83.0769230769
45	441.684782609	83.0769230769
46	442.5	86.2068965517
47	443.315217391	85.2272727273
48	444.130434783	85.2272727273
49	444.945652174	85.2272727273
50	445.760869565	86.6920152091
51	446.576086957	86.3636363636
52	447.391304348	86.3636363636
53	448.206521739	86.7424242424
54	449.02173913	87.5
55	449.836956522	87.5
56	450.652173913	87.5
57	451.467391304	87.5
58	452.282608696	87.5
59	453.097826087	86.7424242424
60	453.913043478	86.7424242424
61	454.72826087	86.7424242424
62	455.543478261	85.6060606061
63	456.358695652	85.2272727273
64	457.173913043	85.2272727273
65	457.989130435	85.2272727273
66	458.804347826	85.2272727273
67	459.619565217	83.3333333333
68	460.434782609	81.8181818182
69	461.25	80.4597701149
70	462.065217391	78.9272030651
71	462.880434783	77.9922779923
72	463.695652174	74.8062015504
73	464.510869565	75.3968253968
74	465.326086957	72.9083665339
75	466.141304348	73.5772357724
76	466.956521739	73.4439834025
77	467.77173913	73.5294117647
78	468.586956522	71.0638297872
79	469.402173913	71.7391304348
80	470.217391304	69.7368421053
81	471.032608696	70.2222222222
82	471.847826087	67.264573991
83	472.663043478	66.9724770642
84	473.47826087	66.0465116279
85	474.293478261	63.2075471698
86	475.108695652	64.5320197044
87	475.923913043	65.3266331658
88	476.739130435	62.6943005181
89	477.554347826	61.3756613757
90	478.369565217	61.5384615385
91	479.184782609	59.3220338983
92	480.0	60.0
93	480.815217391	58.8235294118
94	481.630434783	63.75
95	482.445652174	65.1612903226
96	483.260869565	62.4203821656
97	484.076086957	65.0684931507
98	484.891304348	61.3793103448
99	485.706521739	68.115942029
100	486.52173913	69.014084507
101	487.336956522	56.8181818182
102	488.152173913	58.2089552239
103	488.967391304	63.7096774194
104	489.782608696	60.9375
105	490.597826087	61.7886178862
106	491.413043478	65.0
107	492.22826087	53.4351145038
108	493.043478261	58.064516129
109	493.858695652	66.1157024793
110	494.673913043	71.3043478261
111	495.489130435	68.1415929204
112	496.304347826	62.0689655172
113	497.119565217	59.2592592593
