count	wavelength	intensity
0	405.0	54.7799879445
1	405.815217391	53.5178777393
2	406.630434783	52.7556062334
3	407.445652174	52.0937096477
4	408.260869565	49.1596638655
5	409.076086957	47.9300291545
6	409.891304348	48.3267716535
7	410.706521739	46.9573550551
8	411.52173913	48.0662983425
9	412.336956522	46.9453059617
10	413.152173913	47.0904036046
11	413.967391304	45.8968772694
12	414.782608696	46.3545418167
13	415.597826087	46.1006530926
14	416.413043478	43.7996031746
15	417.22826087	43.8005553543
16	418.043478261	43.292469352
17	418.858695652	43.792633015
18	419.673913043	43.6985850609
19	420.489130435	41.7413572343
20	421.304347826	41.4624488539
21	422.119565217	40.1110399317
22	422.934782609	39.5005242589
23	423.75	39.2045454545
24	424.565217391	40.9726103969
25	425.380434783	41.0353194931
26	426.195652174	41.5380591159
27	427.010869565	41.8521360962
28	427.826086957	41.851759421
29	428.641304348	42.7482792527
30	429.456521739	42.9397590361
31	430.27173913	43.8746438746
32	431.086956522	44.9464368887
33	431.902173913	45.5003434852
34	432.717391304	46.0638776428
35	433.532608696	47.3378076063
36	434.347826087	47.4709875192
37	435.163043478	47.707212056
38	435.97826087	48.8446726573
39	436.793478261	48.8996017606
40	437.608695652	48.9427222336
41	438.423913043	50.8331619008
42	439.239130435	51.0608486789
43	440.054347826	51.3239100139
44	440.869565217	51.8909235669
45	441.684782609	53.0101641908
46	442.5	52.8083381587
47	443.315217391	53.1095942359
48	444.130434783	54.0310370931
49	444.945652174	55.3146986119
50	445.760869565	56.2358276644
51	446.576086957	56.371814093
52	447.391304348	56.0885608856
53	448.206521739	56.8736141907
54	449.02173913	58.1497797357
55	449.836956522	58.0651060717
56	450.652173913	59.6894977169
57	451.467391304	59.9563953488
58	452.282608696	59.8708983324
59	453.097826087	60.4289544236
60	453.913043478	61.4316239316
61	454.72826087	61.3720316623
62	455.543478261	61.5398230088
63	456.358695652	62.103209789
64	457.173913043	61.957847065
65	457.989130435	62.324929972
66	458.804347826	62.2040389972
67	459.619565217	63.1716678297
68	460.434782609	62.9461953683
69	461.25	63.0672926448
70	462.065217391	62.9796839729
71	462.880434783	63.6077057793
72	463.695652174	62.680591819
73	464.510869565	62.9262352122
74	465.326086957	62.8736234924
75	466.141304348	62.5372872434
76	466.956521739	62.6960352423
77	467.77173913	61.9698562916
78	468.586956522	62.0714033227
79	469.402173913	61.5589016829
80	470.217391304	61.5991394765
81	471.032608696	61.4884393064
82	471.847826087	60.5764002175
83	472.663043478	59.6526144382
84	473.47826087	59.8383244534
85	474.293478261	58.9970501475
86	475.108695652	58.4211499353
87	475.923913043	57.5825405708
88	476.739130435	56.2222222222
89	477.554347826	55.007390983
90	478.369565217	54.8617641527
91	479.184782609	53.7064769749
92	480.0	52.5279303162
93	480.815217391	51.9175729823
94	481.630434783	51.2059724349
95	482.445652174	50.9125840538
96	483.260869565	49.2963177174
97	484.076086957	49.5504300235
98	484.891304348	48.5921001173
99	485.706521739	46.1523360817
100	486.52173913	46.4526357511
101	487.336956522	45.1318659528
102	488.152173913	44.1842000794
103	488.967391304	43.8596491228
104	489.782608696	43.4495192308
105	490.597826087	42.419971814
106	491.413043478	41.3834951456
107	492.22826087	40.3744403744
108	493.043478261	40.1224489796
109	493.858695652	39.1625615764
110	494.673913043	38.3723338165
111	495.489130435	37.6847803456
112	496.304347826	37.434609751
113	497.119565217	37.174643157
114	497.934782609	36.829787234
115	498.75	35.6307168688
116	499.565217391	34.6398305085
117	500.380434783	34.8896980081
118	501.195652174	35.2766884532
119	502.010869565	35.2293577982
120	502.826086957	32.8950252027
121	503.641304348	33.2835602401
122	504.456521739	33.7142857143
123	505.27173913	33.1349564172
124	506.086956522	33.3979998496
125	506.902173913	33.4764732755
126	507.717391304	32.5872004853
127	508.532608696	32.7633209418
128	509.347826087	32.0623781676
129	510.163043478	32.4353227963
130	510.97826087	32.7856468366
131	511.793478261	32.5053028518
132	512.608695652	32.404739033
133	513.423913043	32.6168674699
134	514.239130435	31.7956180775
135	515.054347826	32.1944977607
136	515.869565217	32.8402794507
137	516.684782609	32.273100279
138	517.5	32.6231386025
139	518.315217391	31.8789075354
140	519.130434783	30.9973753281
141	519.945652174	33.1499380421
142	520.760869565	32.4175184908
143	521.576086957	33.0146091778
144	522.391304348	31.9310459141
145	523.206521739	33.3429146306
146	524.02173913	31.6770911517
147	524.836956522	31.3225404732
148	525.652173913	32.7046562447
149	526.467391304	33.4155964073
150	527.282608696	33.0254857431
151	528.097826087	32.3843117494
152	528.913043478	32.3534868033
153	529.72826087	33.1818893937
154	530.543478261	32.8789420142
155	531.358695652	34.5927196042
156	532.173913043	33.2873830081
157	532.989130435	32.1412803532
158	533.804347826	33.5238095238
159	534.619565217	33.4635149024
160	535.434782609	34.3625350864
161	536.25	32.7780651837
162	537.065217391	33.2284455632
163	537.880434783	33.1245650661
164	538.695652174	33.4415924568
165	539.510869565	32.3536065431
166	540.326086957	32.3925514076
167	541.141304348	33.7360314105
168	541.956521739	33.252709845
169	542.77173913	34.2300556586
170	543.586956522	32.710722738
171	544.402173913	32.9568106312
172	545.217391304	34.3239582503
173	546.032608696	33.9812115322
174	546.847826087	34.6913580247
175	547.663043478	36.5237815619
176	548.47826087	35.6246264196
177	549.293478261	34.3865443957
178	550.108695652	33.7607102302
179	550.923913043	36.6972477064
180	551.739130435	36.1593157973
181	552.554347826	36.7532598807
182	553.369565217	37.9954941241
183	554.184782609	36.3724024878
184	555.0	39.901788846
185	555.815217391	39.015015015
186	556.630434783	40.3168799512
187	557.445652174	40.8923427346
188	558.260869565	41.1653628271
189	559.076086957	41.998581129
190	559.891304348	42.5430067315
191	560.706521739	40.9028557177
192	561.52173913	41.4186710151
193	562.336956522	41.4171656687
194	563.152173913	41.968455967
195	563.967391304	40.7117083489
196	564.782608696	39.4857142857
197	565.597826087	42.6210594184
198	566.413043478	42.6341628576
199	567.22826087	42.7376988531
200	568.043478261	39.3356643357
201	568.858695652	43.6855563804
202	569.673913043	40.9265452744
203	570.489130435	41.7455509276
204	571.304347826	39.5856980704
205	572.119565217	44.1004218372
206	572.934782609	41.2225883422
207	573.75	40.7984780078
208	574.565217391	42.1941493818
209	575.380434783	40.837401427
210	576.195652174	38.6904761905
211	577.010869565	39.6076952094
212	577.826086957	41.9315102242
213	578.641304348	41.2131519274
214	579.456521739	39.0950397576
215	580.27173913	39.064383892
216	581.086956522	39.8051207629
217	581.902173913	39.7381873445
218	582.717391304	42.3632218844
219	583.532608696	42.9566694987
220	584.347826087	39.956043956
221	585.163043478	41.7173648532
222	585.97826087	41.669873028
223	586.793478261	43.1419939577
224	587.608695652	40.5675249606
225	588.423913043	40.3444272445
226	589.239130435	41.9916796673
227	590.054347826	40.5909797822
228	590.869565217	41.0727483898
229	591.684782609	41.159348266
230	592.5	42.1883150756
231	593.315217391	42.4849437026
232	594.130434783	42.6432291666
233	594.945652174	40.6406585541
234	595.760869565	40.8499659584
235	596.576086957	40.973871734
236	597.391304348	39.9305555556
237	598.206521739	41.0891629379
238	599.02173913	42.4679487179
239	599.836956522	39.8318654925
240	600.652173913	41.6633266534
