Wavelength	Intensity
0	405.0	73.8461538462
1	405.815217391	69.5652173913
2	406.630434783	70.5882352941
3	407.445652174	70.5882352941
4	408.260869565	68.5714285714
5	409.076086957	61.5384615385
6	409.891304348	66.6666666667
7	410.706521739	59.2592592593
8	411.52173913	58.5365853659
9	412.336956522	54.5454545455
10	413.152173913	51.6129032258
11	413.967391304	48.9795918367
12	414.782608696	47.0588235294
13	415.597826087	44.8598130841
14	416.413043478	41.7391304348
15	417.22826087	40.6779661017
16	418.043478261	38.7096774194
17	418.858695652	35.5555555556
18	419.673913043	34.0425531915
19	420.489130435	33.1034482759
20	421.304347826	31.7880794702
21	422.119565217	30.0
22	422.934782609	29.2682926829
23	423.75	27.9069767442
24	424.565217391	27.2727272727
25	425.380434783	26.3736263736
26	426.195652174	25.2631578947
27	427.010869565	24.3654822335
28	427.826086957	23.645320197
29	428.641304348	23.0769230769
30	429.456521739	22.8571428571
31	430.27173913	22.4299065421
32	431.086956522	20.9090909091
33	431.902173913	21.4285714286
34	432.717391304	21.4285714286
35	433.532608696	21.7391304348
36	434.347826087	21.4592274678
37	435.163043478	20.8333333333
38	435.97826087	20.8333333333
39	436.793478261	20.7468879668
40	437.608695652	20.4081632653
41	438.423913043	20.0803212851
42	439.239130435	19.53125
43	440.054347826	19.3798449612
44	440.869565217	19.2307692308
45	441.684782609	19.2307692308
46	442.5	18.3908045977
47	443.315217391	18.9393939394
48	444.130434783	18.9393939394
49	444.945652174	18.9393939394
50	445.760869565	19.0114068441
51	446.576086957	18.9393939394
52	447.391304348	18.9393939394
53	448.206521739	18.9393939394
54	449.02173913	18.9393939394
55	449.836956522	18.9393939394
56	450.652173913	18.9393939394
57	451.467391304	18.9393939394
58	452.282608696	18.9393939394
59	453.097826087	19.3181818182
60	453.913043478	18.9393939394
61	454.72826087	18.5606060606
62	455.543478261	18.1818181818
63	456.358695652	18.5606060606
64	457.173913043	18.9393939394
65	457.989130435	19.3181818182
66	458.804347826	19.3181818182
67	459.619565217	18.9393939394
68	460.434782609	18.9393939394
69	461.25	19.1570881226
70	462.065217391	19.1570881226
71	462.880434783	19.305019305
72	463.695652174	19.3798449612
73	464.510869565	19.8412698413
74	465.326086957	19.9203187251
75	466.141304348	20.325203252
76	466.956521739	20.7468879668
77	467.77173913	21.0084033613
78	468.586956522	21.2765957447
79	469.402173913	21.7391304348
80	470.217391304	21.9298245614
81	471.032608696	22.2222222222
82	471.847826087	22.4215246637
83	472.663043478	22.9357798165
84	473.47826087	23.2558139535
85	474.293478261	22.641509434
86	475.108695652	23.645320197
87	475.923913043	24.1206030151
88	476.739130435	24.8704663212
89	477.554347826	25.3968253968
90	478.369565217	26.3736263736
91	479.184782609	27.1186440678
92	480.0	27.4285714286
93	480.815217391	28.2352941176
94	481.630434783	30.0
95	482.445652174	30.9677419355
96	483.260869565	30.5732484076
97	484.076086957	32.8767123288
98	484.891304348	33.1034482759
99	485.706521739	34.7826086957
100	486.52173913	33.8028169014
101	487.336956522	36.3636363636
102	488.152173913	35.8208955224
103	488.967391304	38.7096774194
104	489.782608696	37.5
105	490.597826087	39.0243902439
106	491.413043478	40.0
107	492.22826087	36.641221374
108	493.043478261	38.7096774194
109	493.858695652	39.6694214876
110	494.673913043	41.7391304348
111	495.489130435	42.4778761062
112	496.304347826	41.3793103448
113	497.119565217	44.4444444444
114	497.934782609	43.6363636364
115	498.75	43.6363636364
116	499.565217391	44.0366972477
117	500.380434783	43.6363636364
