count	wavelength	intensity
0	405.0	0.0
1	405.815217391	0.0
2	406.630434783	0.0
3	407.445652174	0.0
4	408.260869565	0.0
5	409.076086957	0.0
6	409.891304348	0.0
7	410.706521739	0.0
8	411.52173913	0.0
9	412.336956522	0.0
10	413.152173913	39.3442622951
11	413.967391304	37.2549019608
12	414.782608696	36.8147258904
13	415.597826087	35.6511717249
14	416.413043478	34.7222222222
15	417.22826087	34.1905106845
16	418.043478261	33.6252189142
17	418.858695652	32.8980705515
18	419.673913043	32.1158275749
19	420.489130435	32.2023047375
20	421.304347826	31.8653115697
21	422.119565217	30.3338315894
22	422.934782609	29.9304165475
23	423.75	29.696969697
24	424.565217391	30.7061673188
25	425.380434783	30.7000988586
26	426.195652174	30.7611823176
27	427.010869565	30.2261054372
28	427.826086957	30.0397381505
29	428.641304348	30.8599954618
30	429.456521739	30.9323447637
31	430.27173913	31.7335086566
32	431.086956522	32.0733760883
33	431.902173913	32.072713181
34	432.717391304	32.6378075366
35	433.532608696	33.1233866804
36	434.347826087	33.6595307473
37	435.163043478	32.8709826234
38	435.97826087	33.7184424476
39	436.793478261	34.3264365063
40	437.608695652	33.6139054267
41	438.423913043	33.9902626346
42	439.239130435	34.2247131038
43	440.054347826	33.6651403544
44	440.869565217	34.7929936306
45	441.684782609	34.5582486317
46	442.5	34.9739432542
47	443.315217391	35.1156617368
48	444.130434783	35.8062074186
49	444.945652174	36.6039170945
50	445.760869565	36.9803476946
51	446.576086957	37.143928036
52	447.391304348	37.4169741697
53	448.206521739	38.1744271988
54	449.02173913	38.3076358297
55	449.836956522	38.5332845647
56	450.652173913	39.5616438356
57	451.467391304	39.5167151163
58	452.282608696	39.3222162453
59	453.097826087	39.5889186774
60	453.913043478	39.9928774929
61	454.72826087	39.8416886544
62	455.543478261	40.2477876106
63	456.358695652	40.6100372406
64	457.173913043	40.0975439819
65	457.989130435	40.6337535014
66	458.804347826	40.5988857939
67	459.619565217	40.5617585485
68	460.434782609	40.4666550583
69	461.25	40.4973048166
70	462.065217391	40.1805869074
71	462.880434783	40.5429071804
72	463.695652174	40.0870322019
73	464.510869565	40.1183020181
74	465.326086957	40.0454466002
75	466.141304348	39.6736269521
76	466.956521739	39.436123348
77	467.77173913	38.3631265335
78	468.586956522	38.1230116649
79	469.402173913	37.5376439327
80	470.217391304	36.966654715
81	471.032608696	36.5787572254
82	471.847826087	35.9071959398
83	472.663043478	35.118509137
84	473.47826087	34.8153591769
85	474.293478261	33.7020648968
86	475.108695652	33.1669439823
87	475.923913043	32.8856556613
88	476.739130435	31.2222222222
89	477.554347826	30.6725794531
90	478.369565217	30.4495015986
91	479.184782609	29.258704605
92	480.0	29.2558227608
93	480.815217391	28.6395726006
94	481.630434783	28.1967840735
95	482.445652174	27.5504322767
96	483.260869565	26.8748795065
97	484.076086957	26.9937451134
98	484.891304348	26.7500977708
99	485.706521739	26.2661955241
100	486.52173913	25.782798256
101	487.336956522	25.8047458523
102	488.152173913	25.1740108509
103	488.967391304	25.3694843169
104	489.782608696	24.2445054945
105	490.597826087	23.4461733153
106	491.413043478	24.0229026637
107	492.22826087	23.4181772643
108	493.043478261	23.409733124
109	493.858695652	22.7864089933
110	494.673913043	22.5560316676
111	495.489130435	22.6012588286
112	496.304347826	22.0709192461
113	497.119565217	21.0747271201
114	497.934782609	21.4184397163
115	498.75	21.5469703664
116	499.565217391	21.3559322034
117	500.380434783	22.1188107245
118	501.195652174	22.0305010893
119	502.010869565	22.1057230232
120	502.826086957	21.3193074732
121	503.641304348	21.8149878229
122	504.456521739	22.4553571429
123	505.27173913	22.1329617182
124	506.086956522	22.1198156682
125	506.902173913	22.2526775291
126	507.717391304	21.7015468608
127	508.532608696	22.8624535316
128	509.347826087	22.8304093567
129	510.163043478	23.4436843071
130	510.97826087	22.6628895184
131	511.793478261	24.2847042187
132	512.608695652	22.9998627693
133	513.423913043	23.9036144578
134	514.239130435	24.4967256852
135	515.054347826	23.2629558541
136	515.869565217	23.7533124548
137	516.684782609	24.19638461
138	517.5	24.0058910162
139	518.315217391	25.3504442251
140	519.130434783	23.6614173228
141	519.945652174	23.9107806691
142	520.760869565	25.4500124657
143	521.576086957	24.5058195792
144	522.391304348	24.564893088
145	523.206521739	25.0838363514
146	524.02173913	25.0587940956
147	524.836956522	24.5624363184
148	525.652173913	24.8915784165
149	526.467391304	24.8468060102
150	527.282608696	25.0764011551
151	528.097826087	25.9208868733
152	528.913043478	25.2567670124
153	529.72826087	25.0282869427
154	530.543478261	26.5310274669
155	531.358695652	26.3728755658
156	532.173913043	24.5994736599
157	532.989130435	25.8108337579
158	533.804347826	28.0093240093
159	534.619565217	28.4572342126
160	535.434782609	28.0530224687
161	536.25	27.4874978445
162	537.065217391	27.7377558953
163	537.880434783	29.5987009974
164	538.695652174	29.7537977999
165	539.510869565	28.3619278138
166	540.326086957	31.6172046116
167	541.141304348	30.5592927157
168	541.956521739	30.2648171501
169	542.77173913	31.0114128296
170	543.586956522	33.4044982871
171	544.402173913	32.819893285
172	545.217391304	30.8893560427
173	546.032608696	32.7286470144
174	546.847826087	34.1435185185
175	547.663043478	36.0006405808
176	548.47826087	36.7005379558
177	549.293478261	36.8444454845
178	550.108695652	37.3156728685
179	550.923913043	38.6245832624
180	551.739130435	39.7792252996
181	552.554347826	41.5243101183
182	553.369565217	40.6468280547
183	554.184782609	41.247176718
184	555.0	44.11947225
185	555.815217391	45.1377091377
186	556.630434783	46.2157221207
187	557.445652174	45.4849498328
188	558.260869565	48.021760633
189	559.076086957	47.61169711
190	559.891304348	47.8683620045
191	560.706521739	48.5308929753
192	561.52173913	47.490924621
193	562.336956522	50.1612160295
194	563.152173913	48.8458674609
195	563.967391304	48.6059666351
196	564.782608696	48.0879120879
197	565.597826087	50.3057972263
198	566.413043478	49.3682853459
199	567.22826087	49.5403967102
200	568.043478261	45.7336780866
201	568.858695652	49.8429558563
202	569.673913043	49.3072145246
203	570.489130435	48.015029272
204	571.304347826	48.1969789575
205	572.119565217	49.5846210553
206	572.934782609	50.5851607772
207	573.75	50.9753812079
208	574.565217391	49.3286293507
209	575.380434783	47.8380988145
210	576.195652174	50.0610500611
211	577.010869565	49.4443316021
212	577.826086957	49.8363425193
213	578.641304348	49.4505494505
214	579.456521739	49.0635831415
215	580.27173913	49.6254408722
216	581.086956522	48.3792148558
217	581.902173913	50.1081365442
218	582.717391304	48.6614449379
219	583.532608696	51.347232207
220	584.347826087	49.0989010989
221	585.163043478	47.487025403
222	585.97826087	49.3237043832
223	586.793478261	51.1271206135
224	587.608695652	48.926507019
225	588.423913043	49.967254108
226	589.239130435	50.537021481
227	590.054347826	49.7069027395
228	590.869565217	48.199767712
229	591.684782609	48.7940407895
230	592.5	47.8286384977
231	593.315217391	50.6223941025
232	594.130434783	48.8131009614
233	594.945652174	49.6971532406
234	595.760869565	50.3471695826
235	596.576086957	50.0182715147
236	597.391304348	48.3843537415
237	598.206521739	48.7909449494
