count	wavelength	intensity
0	405.0	62.6883664858
1	405.815217391	61.5916955017
2	406.630434783	63.6052658858
3	407.445652174	60.5265238359
4	408.260869565	58.4033613445
5	409.076086957	60.4081632653
6	409.891304348	58.8734100545
7	410.706521739	60.7570675611
8	411.52173913	57.5076734193
9	412.336956522	56.5706690297
10	413.152173913	59.5587328978
11	413.967391304	56.7320261438
12	414.782608696	57.4949979992
13	415.597826087	55.0749135613
14	416.413043478	56.4285714286
15	417.22826087	56.0956175299
16	418.043478261	57.2749562172
17	418.858695652	58.0991359709
18	419.673913043	58.5104749369
19	420.489130435	58.5232607768
20	421.304347826	55.990144749
21	422.119565217	58.96163428
22	422.934782609	59.3880468973
23	423.75	60.1515151515
24	424.565217391	60.145332588
25	425.380434783	59.6926395255
26	426.195652174	60.1360188334
27	427.010869565	60.55257099
28	427.826086957	60.9932617919
29	428.641304348	61.9960668633
30	429.456521739	62.8674698795
31	430.27173913	64.1737891738
32	431.086956522	64.6017699115
33	431.902173913	64.5523242501
34	432.717391304	64.799820063
35	433.532608696	66.1968680089
36	434.347826087	66.3893146486
37	435.163043478	66.2863293864
38	435.97826087	67.5010697475
39	436.793478261	67.7216516454
40	437.608695652	67.8505440361
41	438.423913043	68.4838510595
42	439.239130435	67.5340272218
43	440.054347826	68.2659765081
44	440.869565217	69.6058917197
45	441.684782609	68.803752932
46	442.5	68.7898089172
47	443.315217391	68.3921122488
48	444.130434783	68.9439818319
49	444.945652174	70.1464156684
50	445.760869565	69.7656840514
51	446.576086957	69.883808096
52	447.391304348	69.6125461255
53	448.206521739	70.1589061345
54	449.02173913	69.6585903084
55	449.836956522	69.5318215069
56	450.652173913	70.3561643836
57	451.467391304	69.7856104651
58	452.282608696	68.8542227004
59	453.097826087	69.2046470063
60	453.913043478	68.9102564103
61	454.72826087	68.109058927
62	455.543478261	69.0796460177
63	456.358695652	69.4272034049
64	457.173913043	68.2807873193
65	457.989130435	68.2422969188
66	458.804347826	67.8447075209
67	459.619565217	67.8995115143
68	460.434782609	67.5779209472
69	461.25	67.3100330377
70	462.065217391	67.3033512763
71	462.880434783	67.7758318739
72	463.695652174	67.1540469974
73	464.510869565	66.7188587335
74	465.326086957	66.509351512
75	466.141304348	66.4853483067
76	466.956521739	66.6431718062
77	467.77173913	65.7027690151
78	468.586956522	65.5531990103
79	469.402173913	65.2967227635
80	470.217391304	65.3639297239
81	471.032608696	65.5888728324
82	471.847826087	64.9447163313
83	472.663043478	63.9587479645
84	473.47826087	64.1006797722
85	474.293478261	63.6983775811
86	475.108695652	63.3573673507
87	475.923913043	63.1038985264
88	476.739130435	61.4259259259
89	477.554347826	60.3658536585
90	478.369565217	61.9710362987
91	479.184782609	59.8277798577
92	480.0	59.666729786
93	480.815217391	59.7595878649
94	481.630434783	59.0352220521
95	482.445652174	58.8472622478
96	483.260869565	59.9575862734
97	484.076086957	58.8350273651
98	484.891304348	59.3077825577
99	485.706521739	58.1861012956
100	486.52173913	58.125247721
101	487.336956522	57.2080111045
102	488.152173913	56.3120285828
103	488.967391304	56.8181818182
104	489.782608696	55.5488782051
105	490.597826087	55.3251459634
106	491.413043478	55.1779935275
107	492.22826087	54.415954416
108	493.043478261	55.1836734694
109	493.858695652	54.3513957307
110	494.673913043	54.0277490164
111	495.489130435	53.3833021029
112	496.304347826	51.9146264909
113	497.119565217	51.5952980688
114	497.934782609	51.5319148936
115	498.75	51.7336736864
116	499.565217391	50.7203389831
117	500.380434783	49.9250374813
118	501.195652174	49.9128540305
119	502.010869565	50.0873743993
120	502.826086957	48.8056103441
121	503.641304348	48.5726833553
122	504.456521739	49.4642857143
123	505.27173913	49.34625789
124	506.086956522	49.4924430408
125	506.902173913	49.1320237551
126	507.717391304	48.0436760692
127	508.532608696	48.8150557621
128	509.347826087	49.2865497076
129	510.163043478	48.6435480066
130	510.97826087	49.5278564684
131	511.793478261	48.3855762432
132	512.608695652	48.4870317003
133	513.423913043	48.7710843373
134	514.239130435	49.8666019888
135	515.054347826	48.584452975
136	515.869565217	49.5543242592
137	516.684782609	51.0339734121
138	517.5	51.1782032401
139	518.315217391	52.0977295163
140	519.130434783	52.5836614173
141	519.945652174	53.3581164808
142	520.760869565	54.9738219895
143	521.576086957	54.5906942025
144	522.391304348	55.3207359523
145	523.206521739	56.7404426559
146	524.02173913	57.6182136602
147	524.836956522	58.4806973848
148	525.652173913	60.4387291982
149	526.467391304	60.7403676656
150	527.282608696	61.9480191774
151	528.097826087	62.4590576972
152	528.913043478	63.7996458386
153	529.72826087	64.2311608961
154	530.543478261	65.0559511699
155	531.358695652	66.6410453497
156	532.173913043	66.8359573388
157	532.989130435	67.6770249618
158	533.804347826	68.4102564103
159	534.619565217	69.01336074
160	535.434782609	70.5532574974
161	536.25	71.003621314
162	537.065217391	71.6506867064
163	537.880434783	72.8862212944
164	538.695652174	73.9130434783
165	539.510869565	74.4453145393
166	540.326086957	75.8009001853
167	541.141304348	76.2949260042
168	541.956521739	78.2585326525
169	542.77173913	78.6255411255
170	543.586956522	79.9563080284
171	544.402173913	81.561461794
172	545.217391304	82.8220858896
173	546.032608696	84.6655328798
174	546.847826087	86.7476851852
175	547.663043478	88.3734586025
176	548.47826087	90.4662283323
177	549.293478261	92.4551262549
178	550.108695652	94.5184267575
179	550.923913043	96.6782663714
180	551.739130435	98.9657401422
181	552.554347826	101.11695138
182	553.369565217	103.449430676
183	554.184782609	104.421194735
184	555.0	108.69870221
185	555.815217391	112.108108108
186	556.630434783	113.967093236
187	557.445652174	115.070007369
188	558.260869565	116.283382789
189	559.076086957	116.387959866
190	559.891304348	117.576664174
191	560.706521739	117.20912832
192	561.52173913	117.526158445
193	562.336956522	117.926646707
194	563.152173913	116.865227103
195	563.967391304	117.730496454
196	564.782608696	112.607142857
