count	wavelength	intensity
0	405.0	0.0
1	405.815217391	0.0
2	406.630434783	0.0
3	407.445652174	0.0
4	408.260869565	0.0
5	409.076086957	0.0
6	409.891304348	0.0
7	410.706521739	0.0
8	411.52173913	0.0
9	412.336956522	0.0
10	413.152173913	0.0
11	413.967391304	0.0
12	414.782608696	0.0
13	415.597826087	0.0
14	416.413043478	0.0
15	417.22826087	0.0
16	418.043478261	31.9439579685
17	418.858695652	31.105047749
18	419.673913043	0.0
19	420.489130435	28.681177977
20	421.304347826	27.9889128426
21	422.119565217	27.8385650224
22	422.934782609	26.2755831529
23	423.75	27.1818181818
24	424.565217391	27.341691288
25	425.380434783	26.7457535724
26	426.195652174	27.1514517395
27	427.010869565	26.6462010744
28	427.826086957	26.5934614425
29	428.641304348	26.4235273085
30	429.456521739	26.6725082147
31	430.27173913	27.212293879
32	431.086956522	26.3981942603
33	431.902173913	26.5487660954
34	432.717391304	26.8244575937
35	433.532608696	28.0984340045
36	434.347826087	28.0002021189
37	435.163043478	28.6428748861
38	435.97826087	28.4369460236
39	436.793478261	27.7677635716
40	437.608695652	28.3583110929
41	438.423913043	29.0310635672
42	439.239130435	29.2073658927
43	440.054347826	29.3901386953
44	440.869565217	29.2993630573
45	441.684782609	29.6325254105
46	442.5	29.8591005597
47	443.315217391	30.2237390975
48	444.130434783	30.6964420893
49	444.945652174	31.374786081
50	445.760869565	31.9160997732
51	446.576086957	32.3275862069
52	447.391304348	32.8597785978
53	448.206521739	33.8876570584
54	449.02173913	34.5998531571
55	449.836956522	34.9670811997
56	450.652173913	35.4703196347
57	451.467391304	35.7376453488
58	452.282608696	35.4670970056
59	453.097826087	35.8713136729
60	453.913043478	35.9152421652
61	454.72826087	36.2884784521
62	455.543478261	37.1327433628
63	456.358695652	37.3470473488
64	457.173913043	37.0667131162
65	457.989130435	37.3424369748
66	458.804347826	37.569637883
67	459.619565217	37.7355198883
68	460.434782609	37.5587671948
69	461.25	38.1151104156
70	462.065217391	37.81906581
71	462.880434783	38.3012259194
72	463.695652174	37.998259356
73	464.510869565	37.4043145442
74	465.326086957	37.4584862786
75	466.141304348	37.4276188805
76	466.956521739	37.0396475771
77	467.77173913	36.5930599369
78	468.586956522	36.1611876988
79	469.402173913	35.8547387068
80	470.217391304	35.7296522051
81	471.032608696	35.4046242775
82	471.847826087	34.7833967736
83	472.663043478	33.8519992763
84	473.47826087	34.9807091677
85	474.293478261	34.552605703
86	475.108695652	33.5638133974
87	475.923913043	33.6852577255
88	476.739130435	32.8296296296
89	477.554347826	31.3377679231
90	478.369565217	30.7140618143
91	479.184782609	30.7100960938
92	480.0	30.5800669065
93	480.815217391	29.7347834383
94	481.630434783	29.0148034712
95	482.445652174	28.1985270573
96	483.260869565	27.473812737
97	484.076086957	27.5840500391
98	484.891304348	27.1359666276
99	485.706521739	26.300222484
100	486.52173913	26.021931563
101	487.336956522	25.1067486285
102	488.152173913	24.4753208945
103	488.967391304	24.2636895268
104	489.782608696	24.1025641026
105	490.597826087	24.8957404585
106	491.413043478	24.6701518546
107	492.22826087	24.0944240944
108	493.043478261	23.5102040816
109	493.858695652	23.4937476317
110	494.673913043	23.7454269345
111	495.489130435	23.8335888555
112	496.304347826	23.2405663667
113	497.119565217	22.6140498181
114	497.934782609	22.4113475177
115	498.75	22.3782174006
116	499.565217391	22.4745762712
117	500.380434783	23.5168130221
118	501.195652174	24.1830065359
119	502.010869565	23.5328382117
120	502.826086957	24.0192855577
121	503.641304348	24.2424242424
122	504.456521739	23.8095238095
123	505.27173913	27.7727682597
124	506.086956522	27.1900142868
125	506.902173913	27.6534186082
126	507.717391304	25.4777070064
127	508.532608696	28.2527881041
128	509.347826087	25.8245614035
129	510.163043478	30.5732484076
130	510.97826087	24.7403210576
131	511.793478261	25.767931495
132	512.608695652	27.2814601345
133	513.423913043	29.3012048193
134	514.239130435	26.7766189668
135	515.054347826	25.527831094
136	515.869565217	28.3947643138
137	516.684782609	30.9207287051
138	517.5	27.4914089347
139	518.315217391	32.5765054294
140	519.130434783	29.9212598425
141	519.945652174	30.136307311
142	520.760869565	25.5297930691
143	521.576086957	27.2041137928
144	522.391304348	29.0402784684
145	523.206521739	27.5653923541
146	524.02173913	25.7526478192
147	524.836956522	29.4894146949
148	525.652173913	30.0554715078
149	526.467391304	25.2833039537
150	527.282608696	33.3080999243
151	528.097826087	28.2186948854
152	528.913043478	31.9757146471
153	529.72826087	30.7535641548
154	530.543478261	25.3916581892
155	531.358695652	28.695874968
156	532.173913043	29.2534281361
157	532.989130435	28.1202241467
158	533.804347826	30.0854700855
159	534.619565217	28.9140116478
160	535.434782609	27.3009307135
161	536.25	29.798241076
162	537.065217391	31.3034464887
163	537.880434783	26.3048016701
164	538.695652174	27.5746464117
165	539.510869565	29.3395980162
166	540.326086957	28.8059306328
167	541.141304348	28.2241014799
168	541.956521739	28.379467885
169	542.77173913	29.5454545455
170	543.586956522	31.6038594575
171	544.402173913	33.2225913621
172	545.217391304	29.0016731735
173	546.032608696	29.9319727891
174	546.847826087	31.4814814815
175	547.663043478	30.3464474457
176	548.47826087	32.8352261407
177	549.293478261	31.5181016124
178	550.108695652	34.6856611954
179	550.923913043	31.686175261
180	551.739130435	33.3548804137
181	552.554347826	36.2680683311
182	553.369565217	37.1064969859
183	554.184782609	37.4395320058
184	555.0	37.4605401613
185	555.815217391	40.7927927928
186	556.630434783	37.7915904936
187	557.445652174	40.6779661017
188	558.260869565	41.0979228487
189	559.076086957	37.9041248606
190	559.891304348	39.9401645475
191	560.706521739	43.8957475995
192	561.52173913	45.8395615346
193	562.336956522	40.4191616766
194	563.152173913	37.9534092118
195	563.967391304	41.8066442703
196	564.782608696	38.4285714286
197	565.597826087	40.0149309444
198	566.413043478	42.1601489758
199	567.22826087	41.8300653595
200	568.043478261	37.8016591252
201	568.858695652	38.7032912645
202	569.673913043	42.8093645485
203	570.489130435	37.8265808405
204	571.304347826	38.0249716232
205	572.119565217	42.2263177295
206	572.934782609	39.9803052683
207	573.75	41.9342930971
208	574.565217391	38.4181980938
209	575.380434783	38.0210289148
210	576.195652174	38.6904761905
211	577.010869565	42.0124481329
212	577.826086957	40.206947524
213	578.641304348	42.0918367347
214	579.456521739	41.6035592578
215	580.27173913	40.9245926488
216	581.086956522	40.3648802737
217	581.902173913	39.6656534954
218	582.717391304	39.418693009
219	583.532608696	47.6510903427
220	584.347826087	38.2857142857
221	585.163043478	43.4512428299
222	585.97826087	40.7464409387
223	586.793478261	45.0755287009
224	587.608695652	39.0173410405
225	588.423913043	40.3444272445
226	589.239130435	44.6080343215
227	590.054347826	40.0077760497
228	590.869565217	40.6504065041
229	591.684782609	45.4900429521
230	592.5	44.9921752739
231	593.315217391	43.0086410056
232	594.130434783	39.0624999999
233	594.945652174	43.9960629922
234	595.760869565	42.5699645251
235	596.576086957	39.9049881235
236	597.391304348	41.4285714286
237	598.206521739	42.6170468187
238	599.02173913	41.8269230769
