count	wavelength	intensity
0	405.0	58.4689572031
1	405.815217391	57.1062411893
2	406.630434783	57.0125427594
3	407.445652174	56.1372440509
4	408.260869565	53.2467532468
5	409.076086957	52.4675324675
6	409.891304348	52.1653543307
7	410.706521739	51.5572592238
8	411.52173913	52.0564763659
9	412.336956522	50.9821296707
10	413.152173913	49.5387270193
11	413.967391304	48.9190548014
12	414.782608696	48.6594637855
13	415.597826087	47.850113774
14	416.413043478	46.5986394558
15	417.22826087	45.3169141615
16	418.043478261	45.057793345
17	418.858695652	44.9295134152
18	419.673913043	44.4356696282
19	420.489130435	44.2168160478
20	421.304347826	42.5007699415
21	422.119565217	42.1823617339
22	422.934782609	41.3211323992
23	423.75	41.7897727273
24	424.565217391	41.6992733371
25	425.380434783	40.9005122675
26	426.195652174	40.7533350772
27	427.010869565	40.4707086211
28	427.826086957	39.8302969803
29	428.641304348	39.8967551622
30	429.456521739	39.8072289157
31	430.27173913	40.1471984805
32	431.086956522	39.776432231
33	431.902173913	39.7068926036
34	432.717391304	39.518668466
35	433.532608696	40.2237136465
36	434.347826087	39.8730019707
37	435.163043478	39.7201291712
38	435.97826087	40.4792468977
39	436.793478261	39.928736114
40	437.608695652	39.437487169
41	438.423913043	39.5391894672
42	439.239130435	38.8911128903
43	440.054347826	38.9806888314
44	440.869565217	39.5899681529
45	441.684782609	38.6630179828
46	442.5	38.1393553368
47	443.315217391	37.29616989
48	444.130434783	37.3580620742
49	444.945652174	37.6497432972
50	445.760869565	37.0181405896
51	446.576086957	36.9565217391
52	447.391304348	36.1623616236
53	448.206521739	36.3082039911
54	449.02173913	35.3524229075
55	449.836956522	34.839063643
56	450.652173913	34.4840182648
57	451.467391304	33.9389534884
58	452.282608696	33.1002331002
59	453.097826087	31.9392314567
60	453.913043478	30.8582621083
61	454.72826087	30.3430079156
62	455.543478261	30.1061946903
63	456.358695652	29.4201099486
64	457.173913043	27.9045462463
65	457.989130435	27.2408963585
66	458.804347826	26.8454038997
67	459.619565217	26.3258897418
68	460.434782609	25.7705032213
69	461.25	25.0391236307
70	462.065217391	24.6223302657
71	462.880434783	24.238178634
72	463.695652174	23.2027850305
73	464.510869565	23.1036882394
74	465.326086957	22.5310260444
75	466.141304348	22.0915950167
76	466.956521739	21.8502202643
77	467.77173913	21.5036803365
78	468.586956522	21.31495228
79	469.402173913	20.8987304399
80	470.217391304	20.4015776264
81	471.032608696	20.0144508671
82	471.847826087	19.8114917528
83	472.663043478	19.5766238466
84	473.47826087	19.6950211281
85	474.293478261	19.331366765
86	475.108695652	19.1532630801
87	475.923913043	18.8957284089
88	476.739130435	18.8262108262
89	477.554347826	19.0440995319
90	478.369565217	18.9349112426
91	479.184782609	18.2952701859
92	480.0	18.7843211513
93	480.815217391	18.9831919654
94	481.630434783	18.8667687596
95	482.445652174	18.674351585
96	483.260869565	18.8162714479
97	484.076086957	20.1943482632
98	484.891304348	19.0066484161
99	485.706521739	18.8064389478
100	486.52173913	19.0249702735
101	487.336956522	19.16319651
102	488.152173913	21.2782850337
103	488.967391304	19.649122807
104	489.782608696	20.3846153846
105	490.597826087	19.8337599586
106	491.413043478	20.6040992449
107	492.22826087	20.7733007733
108	493.043478261	20.8979591837
109	493.858695652	20.5254515599
110	494.673913043	20.4321115483
111	495.489130435	20.986883198
112	496.304347826	21.2596777569
113	497.119565217	21.6288832914
114	497.934782609	21.390070922
115	498.75	21.6853556994
116	499.565217391	20.2905569007
117	500.380434783	21.5892053973
118	501.195652174	21.8910675381
119	502.010869565	21.6688510266
120	502.826086957	22.3098838483
121	503.641304348	21.8269653052
122	504.456521739	22.2222222222
123	505.27173913	23.2281334536
124	506.086956522	22.9791713663
125	506.902173913	23.389675651
126	507.717391304	22.889495501
127	508.532608696	24.1635687732
128	509.347826087	24.5948203843
129	510.163043478	23.6953159812
130	510.97826087	24.1737488196
131	511.793478261	23.68135753
132	512.608695652	24.1026984543
133	513.423913043	24.3855421687
134	514.239130435	25.1758428329
135	515.054347826	24.0563019834
136	515.869565217	25.353997698
137	516.684782609	27.2772033481
138	517.5	25.6848306333
139	518.315217391	27.1470878578
140	519.130434783	26.1023622047
141	519.945652174	27.1127633209
142	520.760869565	26.3638630131
143	521.576086957	26.4561514624
144	522.391304348	27.3043714118
145	523.206521739	26.9617706237
146	524.02173913	27.0048690364
147	524.836956522	27.098381071
148	525.652173913	28.8451840645
149	526.467391304	27.9875249404
150	527.282608696	27.3866599378
151	528.097826087	29.2600991014
152	528.913043478	27.9956151446
153	529.72826087	28.4114052953
154	530.543478261	29.0946083418
155	531.358695652	29.5157571099
156	532.173913043	29.0971598234
157	532.989130435	28.7785571535
158	533.804347826	29.2991452991
159	534.619565217	29.8732442617
160	535.434782609	29.4328215735
161	536.25	30.2465942404
162	537.065217391	30.7160749762
163	537.880434783	29.7146833681
164	538.695652174	29.7837311981
165	539.510869565	31.88027495
166	540.326086957	31.2871137335
167	541.141304348	30.5090258579
168	541.956521739	32.106064678
169	542.77173913	30.9090909091
170	543.586956522	32.8698063269
171	544.402173913	33.9239571798
172	545.217391304	33.0810294
173	546.032608696	35.5136926565
174	546.847826087	36.1111111111
175	547.663043478	35.9365825015
176	548.47826087	36.2052770899
177	549.293478261	39.1182896811
178	550.108695652	40.5078971818
179	550.923913043	40.1681203959
180	551.739130435	42.792501616
181	552.554347826	41.5243101183
182	553.369565217	41.8333173859
183	554.184782609	44.0480208283
