count	wavelength	intensity
0	405.0	85.0081804874
1	405.815217391	84.2313395947
2	406.630434783	83.800836184
3	407.445652174	83.2909057369
4	408.260869565	82.1848739496
5	409.076086957	81.2755102041
6	409.891304348	83.5695538058
7	410.706521739	81.2649736464
8	411.52173913	81.3996316759
9	412.336956522	80.6380150642
10	413.152173913	81.0181190682
11	413.967391304	79.1258169935
12	414.782608696	79.9519807923
13	415.597826087	79.4852093738
14	416.413043478	79.650297619
15	417.22826087	79.3190872872
16	418.043478261	79.4395796848
17	418.858695652	80.2864938608
18	419.673913043	80.0263244488
19	420.489130435	79.7375160051
20	421.304347826	78.0412688636
21	422.119565217	78.4753363229
22	422.934782609	76.6371175293
23	423.75	77.6704545455
24	424.565217391	78.5634432644
25	425.380434783	77.1366945268
26	426.195652174	76.7721684541
27	427.010869565	76.7971348171
28	427.826086957	76.2415772398
29	428.641304348	76.5240904621
30	429.456521739	75.734939759
31	430.27173913	76.2820512821
32	431.086956522	76.3157894737
33	431.902173913	75.6125486604
34	432.717391304	74.6513720198
35	433.532608696	75.615212528
36	434.347826087	74.9069410992
37	435.163043478	74.1872981701
38	435.97826087	74.433033804
39	436.793478261	73.3179626913
40	437.608695652	72.8803120509
41	438.423913043	73.1948158815
42	439.239130435	71.837469976
43	440.054347826	72.2675691818
44	440.869565217	72.5119426752
45	441.684782609	71.4229867084
46	442.5	71.0866628064
47	443.315217391	70.041714069
48	444.130434783	70.0416351249
49	444.945652174	70.77391139
50	445.760869565	70.6349206349
51	446.576086957	70.0149925037
52	447.391304348	69.2066420664
53	448.206521739	69.4198078344
54	449.02173913	68.9977973568
55	449.836956522	68.9283101683
56	450.652173913	68.8949771689
57	451.467391304	68.2231104651
58	452.282608696	67.2763134302
59	453.097826087	66.7739052726
60	453.913043478	66.6132478632
61	454.72826087	65.5408970976
62	455.543478261	65.592920354
63	456.358695652	65.5258024472
64	457.173913043	63.8913081345
65	457.989130435	64.2156862745
66	458.804347826	63.3704735376
67	459.619565217	62.7180739707
68	460.434782609	61.8666202333
69	461.25	61.1198052513
70	462.065217391	60.5834346241
71	462.880434783	60.1401050788
72	463.695652174	59.0600522193
73	464.510869565	58.1245650661
74	465.326086957	57.3675930781
75	466.141304348	56.7818915599
76	466.956521739	56.0176211454
77	467.77173913	55.1174202594
78	468.586956522	54.2064333687
79	469.402173913	53.6403897254
80	470.217391304	53.4958766583
81	471.032608696	52.9082369942
82	471.847826087	51.8760195759
83	472.663043478	51.3660213497
84	473.47826087	51.2401249311
85	474.293478261	50.3502949853
86	475.108695652	50.3789979664
87	475.923913043	51.6694646521
88	476.739130435	49.1111111111
89	477.554347826	49.3348115299
90	478.369565217	49.3511378597
91	479.184782609	48.2216398353
92	480.0	48.0212081045
93	480.815217391	48.2923106277
94	481.630434783	46.9180704441
95	482.445652174	46.6858789625
96	483.260869565	46.1538461538
97	484.076086957	46.4816262705
98	484.891304348	45.815408682
99	485.706521739	44.85669415
100	486.52173913	44.5897740785
101	487.336956522	44.7749355542
102	488.152173913	43.9460103216
103	488.967391304	43.1419457735
104	489.782608696	42.327724359
105	490.597826087	41.9770485202
106	491.413043478	42.5970873786
107	492.22826087	42.1041921042
108	493.043478261	41.7755102041
109	493.858695652	41.7487684729
110	494.673913043	41.2507765583
111	495.489130435	41.6198209452
112	496.304347826	41.2638627328
113	497.119565217	39.8824517212
114	497.934782609	42.2553191489
115	498.75	41.7570729632
116	499.565217391	42.0127118644
117	500.380434783	40.9723709574
118	501.195652174	41.5904139434
119	502.010869565	42.0707732634
120	502.826086957	42.2967346044
121	503.641304348	42.5779534475
122	504.456521739	42.5669642857
123	505.27173913	42.5383228133
124	506.086956522	42.3415294383
125	506.902173913	43.2846048424
126	507.717391304	43.1756141947
127	508.532608696	44.470260223
128	509.347826087	44.0233918129
129	510.163043478	45.2937013447
130	510.97826087	44.3342776204
131	511.793478261	44.8503417393
132	512.608695652	45.7012487992
133	513.423913043	44.7951807229
134	514.239130435	45.0157652195
135	515.054347826	46.3291746641
136	515.869565217	46.2780052999
137	516.684782609	47.8581979321
138	517.5	47.3490427099
139	518.315217391	48.543928924
140	519.130434783	48.843503937
141	519.945652174	49.8141263941
142	520.760869565	51.0346546996
143	521.576086957	50.8086588704
144	522.391304348	51.4917951268
145	523.206521739	53.4456740443
146	524.02173913	54.3157368026
147	524.836956522	54.0473225405
148	525.652173913	55.6984367121
149	526.467391304	56.3082347016
150	527.282608696	57.3807721423
151	528.097826087	57.5963718821
152	528.913043478	58.7401973185
153	529.72826087	59.0376782077
154	530.543478261	59.8168870804
155	531.358695652	61.0299769408
156	532.173913043	61.1731843575
157	532.989130435	61.5384615385
158	533.804347826	62.3333333333
159	534.619565217	63.874614594
160	535.434782609	63.9607032058
161	536.25	64.5111226073
162	537.065217391	65.5869396217
163	537.880434783	66.3361169102
164	538.695652174	66.710319539
165	539.510869565	66.588358131
166	540.326086957	67.6992321949
167	541.141304348	67.7589852008
168	541.956521739	69.524321419
169	542.77173913	69.696969697
170	543.586956522	70.3440742764
171	544.402173913	72.0099667774
172	545.217391304	73.6196319018
173	546.032608696	74.574829932
174	546.847826087	76.3599537037
175	547.663043478	77.8625954198
176	548.47826087	79.348475792
177	549.293478261	81.0161241253
178	550.108695652	82.9049241251
179	550.923913043	84.6567541917
180	551.739130435	87.0071105365
181	552.554347826	88.5348226018
182	553.369565217	89.8526456798
183	554.184782609	91.2251096861
184	555.0	95.4401964223
185	555.815217391	98.0900900901
186	556.630434783	99.6709323583
187	557.445652174	101.179071481
188	558.260869565	102.225519288
