count	wavelength	intensity
0	405.0	55.2943540285
1	405.815217391	53.8254517493
2	406.630434783	51.9954389966
3	407.445652174	51.7985611511
4	408.260869565	51.5406162465
5	409.076086957	48.7074829932
6	409.891304348	46.8503937008
7	410.706521739	45.6704771032
8	411.52173913	46.6850828729
9	412.336956522	44.9268941072
10	413.152173913	43.4857635893
11	413.967391304	42.1205519245
12	414.782608696	43.1105775644
13	415.597826087	42.071114526
14	416.413043478	40.854978355
15	417.22826087	40.4069671726
16	418.043478261	40.9616303136
17	418.858695652	41.0269130597
18	419.673913043	41.4011786174
19	420.489130435	40.204865557
20	421.304347826	40.365465558
21	422.119565217	40.5779770802
22	422.934782609	40.6062339148
23	423.75	41.0227272727
24	424.565217391	42.4818334265
25	425.380434783	41.3768311315
26	426.195652174	42.3053448426
27	427.010869565	42.7389784259
28	427.826086957	43.5571083936
29	428.641304348	42.5383859012
30	429.456521739	44.1124497992
31	430.27173913	44.4761000317
32	431.086956522	43.9969904339
33	431.902173913	44.2761268958
34	432.717391304	44.3752378975
35	433.532608696	45.6788848735
36	434.347826087	43.8424723951
37	435.163043478	44.3856681532
38	435.97826087	44.7460113699
39	436.793478261	44.9621223463
40	437.608695652	43.6214329706
41	438.423913043	44.4133580196
42	439.239130435	44.7931678676
43	440.054347826	43.659167828
44	440.869565217	44.4864649682
45	441.684782609	44.8201720094
46	442.5	45.1650260567
47	443.315217391	45.1459992416
48	444.130434783	45.8175624527
49	444.945652174	46.4536984218
50	445.760869565	46.8253968254
51	446.576086957	46.9827586207
52	447.391304348	46.9557195572
53	448.206521739	47.5240206948
54	449.02173913	47.815712188
55	449.836956522	48.3723482078
56	450.652173913	49.00456621
57	451.467391304	49.0188953488
58	452.282608696	48.8255334409
59	453.097826087	49.1689008043
60	453.913043478	49.4123931624
61	454.72826087	48.9182058047
62	455.543478261	49.610619469
63	456.358695652	50.0975350239
64	457.173913043	49.190036579
65	457.989130435	49.5273109244
66	458.804347826	49.4951253482
67	459.619565217	49.8604326588
68	460.434782609	49.6778687097
69	461.25	49.7826464963
70	462.065217391	49.7134919257
71	462.880434783	50.122591944
72	463.695652174	50.043516101
73	464.510869565	49.9304105776
74	465.326086957	50.0436986541
75	466.141304348	50.1316020354
76	466.956521739	50.3083700441
77	467.77173913	49.8247458815
78	468.586956522	49.9823259102
79	469.402173913	49.5659875996
80	470.217391304	49.7131588383
81	471.032608696	49.6387283237
82	471.847826087	48.9215153163
83	472.663043478	47.9464447259
84	473.47826087	47.6207973544
85	474.293478261	47.0685840708
86	475.108695652	46.3856535404
87	475.923913043	46.5771311323
88	476.739130435	44.3703703704
89	477.554347826	43.4959349593
90	478.369565217	43.0694000376
91	479.184782609	42.5121677274
92	480.0	42.4162090513
93	480.815217391	41.6141957642
94	481.630434783	41.2901990812
95	482.445652174	40.4995196926
96	483.260869565	41.4780541096
97	484.076086957	41.7200938233
98	484.891304348	40.9438143658
99	485.706521739	40.0366444183
100	486.52173913	39.9524375743
101	487.336956522	39.4897217265
102	488.152173913	38.7243615191
103	488.967391304	38.89420521
104	489.782608696	38.3547008547
105	490.597826087	37.7961210657
106	491.413043478	37.3678532902
107	492.22826087	35.9462759463
108	493.043478261	34.7755102041
109	493.858695652	36.1466885605
110	494.673913043	35.5408297094
111	495.489130435	35.4667221875
112	496.304347826	34.3502824859
113	497.119565217	33.7195633921
114	497.934782609	33.8382978723
115	498.75	32.7192795859
116	499.565217391	33.7046004843
117	500.380434783	32.189619476
118	501.195652174	31.9302832244
119	502.010869565	32.8278100231
120	502.826086957	33.0686626545
121	503.641304348	31.7610891524
122	504.456521739	33.4065934066
123	505.27173913	33.2603374984
124	506.086956522	32.5609873997
125	506.902173913	33.1788814201
126	507.717391304	32.5610695037
127	508.532608696	32.6565627681
128	509.347826087	32.2940685046
129	510.163043478	34.5219300633
130	510.97826087	32.9151490625
131	511.793478261	33.0100255625
132	512.608695652	33.3111652996
133	513.423913043	32.7986230637
134	514.239130435	34.1797421594
135	515.054347826	34.6449136276
136	515.869565217	32.6805933166
137	516.684782609	34.6908630513
138	517.5	34.0837365874
139	518.315217391	35.3557597388
140	519.130434783	34.6456692913
141	519.945652174	35.779239348
142	520.760869565	37.0059260112
143	521.576086957	37.0241353571
144	522.391304348	36.2293102223
