count	wavelength	intensity
0	405.0	57.5906311892
1	405.815217391	55.6708958093
2	406.630434783	55.6442417332
3	407.445652174	54.8090758163
4	408.260869565	52.6355996944
5	409.076086957	51.4285714286
6	409.891304348	51.7060367454
7	410.706521739	51.5572592238
8	411.52173913	51.5653775322
9	412.336956522	51.2775070152
10	413.152173913	50.0165925533
11	413.967391304	49.069884364
12	414.782608696	49.299719888
13	415.597826087	48.8903336387
14	416.413043478	48.2142857143
15	417.22826087	48.6334382749
16	418.043478261	47.475606705
17	418.858695652	47.7099980511
18	419.673913043	46.5416255347
19	420.489130435	46.1971830986
20	421.304347826	45.1699004209
21	422.119565217	45.2496263079
22	422.934782609	43.8013535411
23	423.75	45.0909090909
24	424.565217391	45.8803801006
25	425.380434783	44.8926035769
26	426.195652174	43.6376318772
27	427.010869565	43.7963673574
28	427.826086957	43.6303136178
29	428.641304348	43.9724680433
30	429.456521739	44.2088353414
31	430.27173913	44.2165242165
32	431.086956522	44.0676913523
33	431.902173913	44.0393863064
34	432.717391304	43.3288349078
35	433.532608696	44.2654735272
36	434.347826087	43.7457119918
37	435.163043478	43.7000358809
38	435.97826087	44.2048209956
39	436.793478261	43.7979459233
40	437.608695652	43.117771847
41	438.423913043	43.4039635192
42	439.239130435	42.5940752602
43	440.054347826	42.6411838875
44	440.869565217	42.9511677282
45	441.684782609	42.4706802189
46	442.5	41.8760856977
47	443.315217391	41.3803564657
48	444.130434783	41.1001766339
49	444.945652174	41.1535779933
50	445.760869565	40.957420005
51	446.576086957	40.6796601699
52	447.391304348	40.049200492
53	448.206521739	39.3397388519
54	449.02173913	38.6294664709
55	449.836956522	38.3711289929
56	450.652173913	37.698630137
57	451.467391304	36.9379844961
58	452.282608696	35.8041958042
59	453.097826087	34.8310991957
60	453.913043478	33.6372269706
61	454.72826087	32.3283494576
62	455.543478261	31.7356932153
63	456.358695652	31.0787964769
64	457.173913043	29.8205887476
65	457.989130435	29.1129785247
66	458.804347826	28.0965645311
67	459.619565217	27.7832053966
68	460.434782609	26.9313366998
69	461.25	26.0963310729
70	462.065217391	25.5229495862
71	462.880434783	25.0694687682
72	463.695652174	24.3411662315
73	464.510869565	24.0501043841
74	465.326086957	23.6415545068
75	466.141304348	23.1151664035
76	466.956521739	22.1791483113
77	467.77173913	22.1921786591
78	468.586956522	22.380447407
79	469.402173913	22.1080602303
80	470.217391304	21.6565077089
81	471.032608696	21.5730800991
82	471.847826087	21.5023693001
83	472.663043478	20.429579467
84	473.47826087	21.5077469533
85	474.293478261	21.2143559489
86	475.108695652	20.6569298083
87	475.923913043	20.4688180066
88	476.739130435	19.4747474747
89	477.554347826	19.4584425183
90	478.369565217	19.915536786
91	479.184782609	19.6347601814
92	480.0	18.5823392034
93	480.815217391	19.4364943077
94	481.630434783	19.6358686405
95	482.445652174	18.828049952
96	483.260869565	18.7777135146
97	484.076086957	19.1469029624
98	484.891304348	19.0401698419
99	485.706521739	18.7061030406
100	486.52173913	20.0290659268
101	487.336956522	19.7161553497
102	488.152173913	20.4525605399
103	488.967391304	19.5374800638
104	489.782608696	18.9743589744
105	490.597826087	19.7704852023
106	491.413043478	20.2804746494
107	492.22826087	20.6756206756
108	493.043478261	20.6180758017
109	493.858695652	20.3612479475
110	494.673913043	21.0632192409
111	495.489130435	21.8434906755
112	496.304347826	21.0922787194
113	497.119565217	20.4310103554
114	497.934782609	21.0577507599
115	498.75	22.0378642842
116	499.565217391	20.9685230024
117	500.380434783	21.3750267723
118	501.195652174	22.8903413217
119	502.010869565	21.6688510266
120	502.826086957	21.3894367741
121	503.641304348	22.2347700609
122	504.456521739	22.8571428571
123	505.27173913	22.9486023445
124	506.086956522	23.2348296864
125	506.902173913	21.8059996954
126	507.717391304	23.5668789809
127	508.532608696	23.5552551538
128	509.347826087	22.6807017544
129	510.163043478	23.5046859251
130	510.97826087	25.4687710778
131	511.793478261	25.0765967476
132	512.608695652	25.3602305476
133	513.423913043	24.713253012
134	514.239130435	27.0784488102
135	515.054347826	25.7197696737
136	515.869565217	26.6510651478
137	516.684782609	27.4850921823
138	517.5	26.4203150801
139	518.315217391	28.386530657
140	519.130434783	26.8503937008
141	519.945652174	27.3110285006
142	520.760869565	27.5641984543
143	521.576086957	26.6733018164
144	522.391304348	28.2048731974
145	523.206521739	27.4739345162
146	524.02173913	27.8208656492
147	524.836956522	27.6629306766
148	525.652173913	29.5970292945
149	526.467391304	29.1202124493
150	527.282608696	29.8142432889
151	528.097826087	30.3686906862
152	528.913043478	30.6939876887
153	529.72826087	30.9572301426
154	530.543478261	30.7561885385
155	531.358695652	30.3014774959
156	532.173913043	30.2222916748
157	532.989130435	31.4145016132
158	533.804347826	31.452991453
159	534.619565217	31.505185462
160	535.434782609	31.1192427015
161	536.25	31.4536989136
162	537.065217391	33.1001122916
163	537.880434783	32.3590814196
164	538.695652174	33.2320586695
165	539.510869565	32.9560285708
166	540.326086957	33.4982994236
167	541.141304348	32.4977348233
168	541.956521739	33.2416844107
169	542.77173913	33.7995337995
170	543.586956522	34.485449013
171	544.402173913	36.3971945367
172	545.217391304	34.7382678671
173	546.032608696	36.7346938776
174	546.847826087	36.9301994302
175	547.663043478	38.086634446
176	548.47826087	40.7926801232
177	549.293478261	40.4015819897
178	550.108695652	40.9367034328
179	550.923913043	41.9758665883
180	551.739130435	41.9613999446
181	552.554347826	42.4253801389
182	553.369565217	44.3593914458
183	554.184782609	46.7094161323
184	555.0	48.0047486712
185	555.815217391	48.3088803089
186	556.630434783	48.0543222774
187	557.445652174	49.974491242
188	558.260869565	49.6396778296
189	559.076086957	48.6361947232
190	559.891304348	50.0053424511
191	560.706521739	50.5108060664
192	561.52173913	49.8825539184
193	562.336956522	50.4375863657
194	563.152173913	49.3499054929
195	563.967391304	49.7413747134
196	564.782608696	48.1758241758
197	565.597826087	47.6510424999
198	566.413043478	48.1404628891
199	567.22826087	48.3695364938
200	568.043478261	47.0871040724
201	568.858695652	49.2033578893
202	569.673913043	47.7489066118
203	570.489130435	45.1344187807
204	571.304347826	45.9268313979
205	572.119565217	49.0477945694
206	572.934782609	46.125061546
207	573.75	47.56793594
208	574.565217391	47.5885338399
209	575.380434783	44.6286721166
210	576.195652174	45.8373825721
211	577.010869565	45.2659373822
212	577.826086957	46.879949319
213	578.641304348	45.5695098552
214	579.456521739	46.762589928
