Wavelength	Intensity
0	405.0	81.5384615385
1	405.815217391	76.8115942029
2	406.630434783	80.8823529412
3	407.445652174	82.3529411765
4	408.260869565	82.8571428571
5	409.076086957	74.358974359
6	409.891304348	80.5555555556
7	410.706521739	72.8395061728
8	411.52173913	74.3902439024
9	412.336956522	69.3181818182
10	413.152173913	66.6666666667
11	413.967391304	67.3469387755
12	414.782608696	69.6078431373
13	415.597826087	68.2242990654
14	416.413043478	64.347826087
15	417.22826087	62.7118644068
16	418.043478261	60.4838709677
17	418.858695652	60.7407407407
18	419.673913043	58.1560283688
19	420.489130435	60.6896551724
20	421.304347826	60.2649006623
21	422.119565217	61.25
22	422.934782609	64.0243902439
23	423.75	63.3720930233
24	424.565217391	65.3409090909
25	425.380434783	63.7362637363
26	426.195652174	64.2105263158
27	427.010869565	63.4517766497
28	427.826086957	63.5467980296
29	428.641304348	61.5384615385
30	429.456521739	63.8095238095
31	430.27173913	64.953271028
32	431.086956522	64.5454545455
33	431.902173913	66.5178571429
34	432.717391304	68.3035714286
35	433.532608696	70.0
36	434.347826087	69.9570815451
37	435.163043478	69.5833333333
38	435.97826087	72.9166666667
39	436.793478261	75.1037344398
40	437.608695652	75.9183673469
41	438.423913043	77.5100401606
42	439.239130435	78.515625
43	440.054347826	78.2945736434
44	440.869565217	78.0769230769
45	441.684782609	80.0
46	442.5	81.2260536398
47	443.315217391	80.303030303
48	444.130434783	79.5454545455
49	444.945652174	79.9242424242
50	445.760869565	80.608365019
51	446.576086957	81.8181818182
52	447.391304348	82.5757575758
53	448.206521739	82.9545454545
54	449.02173913	82.9545454545
55	449.836956522	82.9545454545
56	450.652173913	82.9545454545
57	451.467391304	82.9545454545
58	452.282608696	82.9545454545
59	453.097826087	82.9545454545
60	453.913043478	82.5757575758
61	454.72826087	81.8181818182
62	455.543478261	83.7121212121
63	456.358695652	82.5757575758
64	457.173913043	80.6818181818
65	457.989130435	80.303030303
66	458.804347826	80.303030303
67	459.619565217	78.4090909091
68	460.434782609	78.0303030303
69	461.25	78.5440613027
70	462.065217391	76.6283524904
71	462.880434783	74.5173745174
72	463.695652174	72.8682170543
73	464.510869565	72.2222222222
74	465.326086957	70.9163346614
75	466.141304348	71.1382113821
76	466.956521739	69.2946058091
77	467.77173913	66.8067226891
78	468.586956522	65.5319148936
79	469.402173913	66.5217391304
80	470.217391304	66.2280701754
81	471.032608696	64.0
82	471.847826087	63.2286995516
83	472.663043478	60.5504587156
84	473.47826087	60.9302325581
85	474.293478261	60.3773584906
86	475.108695652	59.60591133
87	475.923913043	59.2964824121
88	476.739130435	59.585492228
89	477.554347826	57.671957672
90	478.369565217	54.3956043956
91	479.184782609	56.4971751412
92	480.0	54.2857142857
93	480.815217391	58.2352941176
94	481.630434783	56.875
95	482.445652174	58.7096774194
96	483.260869565	56.6878980892
97	484.076086957	59.5890410959
98	484.891304348	58.6206896552
99	485.706521739	59.4202898551
100	486.52173913	53.5211267606
101	487.336956522	55.303030303
102	488.152173913	55.223880597
103	488.967391304	58.064516129
104	489.782608696	56.25
105	490.597826087	57.7235772358
106	491.413043478	60.8333333333
107	492.22826087	48.0916030534
108	493.043478261	59.6774193548
109	493.858695652	53.7190082645
110	494.673913043	59.1304347826
111	495.489130435	55.7522123894
112	496.304347826	48.275862069
113	497.119565217	56.4814814815
114	497.934782609	55.4545454545
115	498.75	61.8181818182
116	499.565217391	57.7981651376
117	500.380434783	60.0
118	501.195652174	65.7142857143
119	502.010869565	67.619047619
120	502.826086957	61.9047619048
121	503.641304348	55.2631578947
122	504.456521739	57.3913043478
123	505.27173913	66.0
124	506.086956522	70.2127659574
125	506.902173913	66.6666666667
126	507.717391304	57.1428571429
127	508.532608696	56.3636363636
128	509.347826087	61.6822429907
129	510.163043478	67.9245283019
130	510.97826087	50.0
131	511.793478261	57.6271186441
132	512.608695652	64.1025641026
133	513.423913043	60.9756097561
134	514.239130435	59.3220338983
135	515.054347826	59.375
136	515.869565217	54.4
137	516.684782609	59.1666666667
138	517.5	55.223880597
139	518.315217391	54.7445255474
140	519.130434783	58.6956521739
141	519.945652174	53.0769230769
142	520.760869565	58.5034013605
143	521.576086957	54.1095890411
144	522.391304348	53.642384106
145	523.206521739	50.3267973856
146	524.02173913	55.3333333333
147	524.836956522	51.6556291391
148	525.652173913	50.3184713376
149	526.467391304	49.6894409938
150	527.282608696	48.7654320988
151	528.097826087	57.0512820513
152	528.913043478	54.0372670807
153	529.72826087	52.380952381
