count	wavelength	intensity
0	405.0	55.744424352
1	405.815217391	53.7485582468
2	406.630434783	53.8198403649
3	407.445652174	55.0241125781
4	408.260869565	52.5210084034
5	409.076086957	52.0408163265
6	409.891304348	49.6062992126
7	410.706521739	49.6406324868
8	411.52173913	49.6316758748
9	412.336956522	50.7753655295
10	413.152173913	49.5446265938
11	413.967391304	47.5816993464
12	414.782608696	48.4673869548
13	415.597826087	48.313484441
14	416.413043478	48.630952381
15	417.22826087	45.5873475794
16	418.043478261	45.8143607706
17	418.858695652	45.7935425193
18	419.673913043	45.8484150488
19	420.489130435	44.6370530878
20	421.304347826	44.197010258
21	422.119565217	43.2201580184
22	422.934782609	44.9364761632
23	423.75	43.4545454545
24	424.565217391	45.1947084032
25	425.380434783	44.0585962074
26	426.195652174	44.3630656552
27	427.010869565	44.6422785026
28	427.826086957	45.8930205474
29	428.641304348	46.3585709603
30	429.456521739	44.843373494
31	430.27173913	45.9639126306
32	431.086956522	47.7441391088
33	431.902173913	48.6069765667
34	432.717391304	47.3234367971
35	433.532608696	48.389261745
36	434.347826087	48.6971753887
37	435.163043478	48.0947255113
38	435.97826087	49.4651262302
39	436.793478261	50.2200796479
40	437.608695652	50.195031821
41	438.423913043	51.9646163341
42	439.239130435	51.3410728583
43	440.054347826	52.1202468644
44	440.869565217	53.224522293
45	441.684782609	54.319781079
46	442.5	54.4875506659
47	443.315217391	54.057641259
48	444.130434783	54.5798637396
49	444.945652174	56.1893896178
50	445.760869565	56.9538926682
51	446.576086957	57.1589205397
52	447.391304348	57.3247232472
53	448.206521739	58.2039911308
54	449.02173913	58.7371512482
55	449.836956522	59.5098756401
56	450.652173913	60.8219178082
57	451.467391304	61.355377907
58	452.282608696	60.713645329
59	453.097826087	60.9115281501
60	453.913043478	61.7343304843
61	454.72826087	61.09058927
62	455.543478261	62.3539823009
63	456.358695652	62.5110835254
64	457.173913043	61.9752656332
65	457.989130435	62.675070028
66	458.804347826	62.9178272981
67	459.619565217	63.3984647592
68	460.434782609	63.1899703987
69	461.25	62.9455746827
70	462.065217391	63.3964229901
71	462.880434783	63.6952714536
72	463.695652174	63.2898172324
73	464.510869565	62.7348643006
74	465.326086957	63.0134591855
75	466.141304348	62.1512546061
76	466.956521739	62.2026431718
77	467.77173913	62.3729407641
78	468.586956522	61.9476846942
79	469.402173913	61.3994685562
80	470.217391304	61.2764431696
81	471.032608696	61.0007225434
82	471.847826087	59.6701105673
83	472.663043478	58.9469875158
84	473.47826087	59.2320411538
85	474.293478261	58.5730088496
86	475.108695652	57.0345720096
87	475.923913043	57.7131132251
88	476.739130435	55.5555555556
89	477.554347826	54.4715447154
90	478.369565217	53.6580778635
91	479.184782609	52.6020217147
92	480.0	52.149214164
93	480.815217391	51.4978057623
94	481.630434783	50.3445635528
95	482.445652174	49.4908741595
96	483.260869565	49.1035280509
97	484.076086957	48.9835809226
98	484.891304348	47.7512710207
99	485.706521739	46.5842167256
100	486.52173913	45.8779231074
101	487.336956522	45.2310132857
102	488.152173913	46.0076750033
103	488.967391304	44.42317916
104	489.782608696	43.5897435897
105	490.597826087	42.5206361989
106	491.413043478	43.0852211435
107	492.22826087	41.5900149233
108	493.043478261	41.5346938776
109	493.858695652	40.7006020799
110	494.673913043	39.8481397115
111	495.489130435	39.419807065
112	496.304347826	38.6133779731
113	497.119565217	37.3019871257
114	497.934782609	37.0609929078
115	498.75	36.7127561512
116	499.565217391	35.209039548
117	500.380434783	35.6393231955
118	501.195652174	35.1837327524
119	502.010869565	35.0429590797
120	502.826086957	33.5919351304
121	503.641304348	33.8457034109
122	504.456521739	35.5357142857
123	505.27173913	34.4454463481
124	506.086956522	32.4836453869
125	506.902173913	33.5495660119
126	507.717391304	33.1730144287
127	508.532608696	34.4131704727
128	509.347826087	33.3847953216
129	510.163043478	33.6467495703
130	510.97826087	32.9367327668
131	511.793478261	33.1337889858
132	512.608695652	33.6489639083
133	513.423913043	33.074010327
134	514.239130435	33.3737569731
135	515.054347826	33.6440910337
136	515.869565217	32.4328044877
137	516.684782609	34.325103749
138	517.5	33.9995792131
139	518.315217391	34.1841771259
140	519.130434783	35.2080989876
141	519.945652174	33.7334041423
142	520.760869565	33.2930594711
143	521.576086957	34.8498478382
144	522.391304348	34.0981743269
145	523.206521739	34.8088531187
146	524.02173913	35.9038509651
147	524.836956522	34.4707347447
148	525.652173913	34.2914775593
149	526.467391304	34.7751971021
150	527.282608696	33.8848635594
151	528.097826087	34.4095310082
152	528.913043478	36.054408531
153	529.72826087	36.6598778004
154	530.543478261	36.0591595587
155	531.358695652	37.6400437892
156	532.173913043	34.5352971051
157	532.989130435	34.7572956844
158	533.804347826	35.3136094675
159	534.619565217	36.4410512406
160	535.434782609	35.8989511006
161	536.25	35.6514670017
162	537.065217391	35.3698646521
163	537.880434783	36.7753332263
164	538.695652174	36.1042833542
165	539.510869565	35.887683186
166	540.326086957	35.2206966981
167	541.141304348	37.5264270613
168	541.956521739	36.5186009905
169	542.77173913	38.2395382395
170	543.586956522	35.9282443389
171	544.402173913	34.9944629014
172	545.217391304	37.77653839
173	546.032608696	37.0137798709
174	546.847826087	36.5079365079
175	547.663043478	38.3245253474
176	548.47826087	36.5626005793
177	549.293478261	36.576991612
178	550.108695652	37.9890574997
179	550.923913043	38.9750079089
180	551.739130435	38.1937390341
181	552.554347826	39.0174871121
182	553.369565217	41.259209645
183	554.184782609	40.0044999438
184	555.0	39.9258405572
185	555.815217391	41.0256410256
186	556.630434783	42.2556602447
187	557.445652174	41.9552935397
188	558.260869565	42.5321463897
189	559.076086957	44.0579710145
190	559.891304348	44.2782348542
191	560.706521739	43.2472876917
192	561.52173913	42.994972143
193	562.336956522	43.8214480131
194	563.152173913	43.159818588
195	563.967391304	43.4490481523
196	564.782608696	43.0857142857
197	565.597826087	44.5756557739
198	566.413043478	42.125769947
199	567.22826087	42.2964383009
200	568.043478261	42.2665569724
201	568.858695652	45.7852466761
202	569.673913043	44.3453486932
203	570.489130435	42.4942342776
204	571.304347826	42.7716437932
205	572.119565217	44.8748450223
206	572.934782609	46.0200229772
207	573.75	44.2967884828
208	574.565217391	43.7891632879
209	575.380434783	41.4945550132
210	576.195652174	40.2058259201
211	577.010869565	41.0222557526
212	577.826086957	42.4356131673
