count	wavelength	intensity
0	405.0	0.0
1	405.815217391	0.0
2	406.630434783	0.0
3	407.445652174	0.0
4	408.260869565	0.0
5	409.076086957	0.0
6	409.891304348	0.0
7	410.706521739	0.0
8	411.52173913	69.512195122
9	412.336956522	64.7727272727
10	413.152173913	60.2150537634
11	413.967391304	59.1836734694
12	414.782608696	57.8431372549
13	415.597826087	55.1401869159
14	416.413043478	54.7826086957
15	417.22826087	55.0847457627
16	418.043478261	55.6451612903
17	418.858695652	53.3333333333
18	419.673913043	53.9007092199
19	420.489130435	47.5862068966
20	421.304347826	48.0132450331
21	422.119565217	46.25
22	422.934782609	41.8699186992
23	423.75	36.6279069767
24	424.565217391	35.8766233766
25	425.380434783	35.3218210361
26	426.195652174	34.7368421053
27	427.010869565	34.6627991298
28	427.826086957	34.2716396904
29	428.641304348	33.1730769231
30	429.456521739	34.1071428571
31	430.27173913	34.3457943925
32	431.086956522	35.2840909091
33	431.902173913	35.7700892857
34	432.717391304	37.1651785714
35	433.532608696	37.2282608696
36	434.347826087	37.0708154506
37	435.163043478	37.34375
38	435.97826087	37.2222222222
39	436.793478261	36.6390041494
40	437.608695652	34.387755102
41	438.423913043	35.8890105878
42	439.239130435	34.6354166667
43	440.054347826	33.9892665474
44	440.869565217	34.5266272189
45	441.684782609	36.3141025641
46	442.5	34.8385331144
47	443.315217391	35.3896103896
48	444.130434783	34.3276515152
49	444.945652174	34.8484848485
50	445.760869565	35.3136882129
51	446.576086957	35.8664772727
52	447.391304348	36.2215909091
53	448.206521739	36.4820075758
54	449.02173913	36.6477272727
55	449.836956522	37.0028409091
56	450.652173913	37.2869318182
57	451.467391304	37.7840909091
58	452.282608696	37.9024621212
59	453.097826087	37.6893939394
60	453.913043478	37.5473484848
61	454.72826087	37.5
62	455.543478261	37.5710227273
63	456.358695652	37.7130681818
64	457.173913043	37.6893939394
65	457.989130435	37.2395833333
66	458.804347826	36.9791666667
67	459.619565217	36.9081439394
68	460.434782609	36.6240530303
69	461.25	36.7576628352
70	462.065217391	38.013136289
71	462.880434783	36.4478764479
72	463.695652174	35.9173126615
73	464.510869565	37.4433106576
74	465.326086957	37.7566656451
75	466.141304348	36.9047619048
76	466.956521739	40.0980761977
77	467.77173913	41.3445378151
78	468.586956522	40.2553191489
79	469.402173913	40.8260869565
80	470.217391304	39.8245614035
81	471.032608696	39.6
82	471.847826087	38.8340807175
83	472.663043478	38.5779816514
84	473.47826087	38.2325581395
85	474.293478261	39.858490566
86	475.108695652	45.0738916256
87	475.923913043	44.7236180905
88	476.739130435	43.3752775722
89	477.554347826	43.3862433862
90	478.369565217	45.1465201465
91	479.184782609	47.3446327684
92	480.0	51.5714285714
93	480.815217391	52.6470588235
94	481.630434783	59.375
95	482.445652174	58.2795698925
96	483.260869565	56.2632696391
97	484.076086957	58.4474885845
98	484.891304348	58.8505747126
99	485.706521739	60.8695652174
100	486.52173913	55.8685446009
101	487.336956522	58.3333333333
102	488.152173913	55.7213930348
103	488.967391304	57.5268817204
104	489.782608696	54.9479166667
105	490.597826087	56.0975609756
106	491.413043478	56.6666666667
107	492.22826087	49.8727735369
108	493.043478261	53.4946236559
109	493.858695652	53.4435261708
110	494.673913043	55.0724637681
111	495.489130435	56.6371681416
112	496.304347826	56.8965517241
113	497.119565217	58.024691358
114	497.934782609	55.9090909091
115	498.75	59.5454545455
116	499.565217391	55.0458715596
117	500.380434783	55.0
118	501.195652174	58.0952380952
119	502.010869565	56.1904761905
120	502.826086957	61.9047619048
121	503.641304348	54.3859649123
122	504.456521739	57.8260869565
123	505.27173913	69.0
124	506.086956522	72.3404255319
125	506.902173913	69.696969697
126	507.717391304	60.7142857143
127	508.532608696	57.2727272727
128	509.347826087	57.9439252336
129	510.163043478	64.1509433962
130	510.97826087	54.1666666667
131	511.793478261	56.7796610169
132	512.608695652	66.6666666667
133	513.423913043	60.9756097561
134	514.239130435	53.3898305085
135	515.054347826	55.46875
136	515.869565217	61.6
137	516.684782609	57.5
138	517.5	54.1044776119
139	518.315217391	52.1897810219
140	519.130434783	52.5362318841
141	519.945652174	57.3076923077
142	520.760869565	45.8049886621
143	521.576086957	47.602739726
144	522.391304348	43.2671081678
145	523.206521739	52.2875816993
146	524.02173913	45.3333333333
147	524.836956522	45.9161147903
148	525.652173913	48.7261146497
149	526.467391304	47.2049689441
150	527.282608696	45.987654321
151	528.097826087	45.7264957265
152	528.913043478	46.9979296066
153	529.72826087	44.0476190476
154	530.543478261	40.2424242424
155	531.358695652	42.6724137931
156	532.173913043	43.3128834356
157	532.989130435	42.5818882466
158	533.804347826	40.7352941176
159	534.619565217	43.5628742515
160	535.434782609	46.0784313725
161	536.25	49.6894409938
162	537.065217391	45.6349206349
163	537.880434783	42.994011976
164	538.695652174	46.1419753086
165	539.510869565	45.1807228916
166	540.326086957	45.9580838323
167	541.141304348	45.7100591716
168	541.956521739	41.3173652695
169	542.77173913	46.4285714286
170	543.586956522	43.4971098266
171	544.402173913	44.5614035088
172	545.217391304	41.3714285714
173	546.032608696	46.2857142857
174	546.847826087	41.1931818182
175	547.663043478	42.2598870056
176	548.47826087	43.3898305085
177	549.293478261	43.156424581
178	550.108695652	42.1229050279
179	550.923913043	44.4915254237
180	551.739130435	44.2045454545
181	552.554347826	45.7142857143
182	553.369565217	45.8806818182
183	554.184782609	49.34086629
184	555.0	44.1573033708
185	555.815217391	43.3333333333
186	556.630434783	43.5754189944
187	557.445652174	41.0681399632
188	558.260869565	42.5824175824
189	559.076086957	43.7777777778
190	559.891304348	46.2290502793
191	560.706521739	48.3240223464
192	561.52173913	43.3519553073
193	562.336956522	45.6703910615
194	563.152173913	42.364990689
195	563.967391304	46.5659340659
196	564.782608696	44.4444444444
197	565.597826087	44.5555555556
198	566.413043478	44.5054945055
199	567.22826087	43.9344262295
200	568.043478261	43.6666666667
201	568.858695652	43.5164835165
202	569.673913043	46.8406593407
203	570.489130435	42.1857923497
204	571.304347826	44.4444444444
205	572.119565217	47.374301676
206	572.934782609	43.9814814815
207	573.75	43.5754189944
208	574.565217391	41.8994413408
209	575.380434783	47.7653631285
210	576.195652174	49.1573033708
211	577.010869565	42.6029962547
212	577.826086957	46.8926553672
213	578.641304348	48.132183908
214	579.456521739	44.9142857143
215	580.27173913	44.6590909091
216	581.086956522	47.8571428571
217	581.902173913	42.2413793103
218	582.717391304	46.3662790698
219	583.532608696	43.1599229287
220	584.347826087	47.2222222222
221	585.163043478	45.0292397661
222	585.97826087	53.8461538462
223	586.793478261	46.8235294118
224	587.608695652	47.3837209302
225	588.423913043	45.2662721893
226	589.239130435	50.3921568627
227	590.054347826	44.2352941176
228	590.869565217	43.2135728543
229	591.684782609	47.7678571429
230	592.5	43.6507936508
231	593.315217391	45.0299401198
232	594.130434783	52.49500998
233	594.945652174	50.499001996
234	595.760869565	43.4343434343
235	596.576086957	44.7474747475
236	597.391304348	46.6666666667
237	598.206521739	44.1056910569
238	599.02173913	46.2962962963
