count	wavelength	intensity
0	405.0	8985.71428571
1	405.815217391	9138.46153846
2	406.630434783	9514.28571429
3	407.445652174	9469.23076923
4	408.260869565	9513.33333333
5	409.076086957	9562.5
6	409.891304348	10120.0
7	410.706521739	10040.0
8	411.52173913	10300.0
9	412.336956522	10600.0
10	413.152173913	10740.0
11	413.967391304	10893.75
12	414.782608696	11233.3333333
13	415.597826087	11562.5
14	416.413043478	11906.25
15	417.22826087	12487.5
16	418.043478261	13206.25
17	418.858695652	13893.3333333
18	419.673913043	14575.0
19	420.489130435	14825.0
20	421.304347826	15843.75
21	422.119565217	16618.75
22	422.934782609	18037.5
23	423.75	17850.0
24	424.565217391	19268.75
25	425.380434783	19931.25
26	426.195652174	21087.5
27	427.010869565	21687.5
28	427.826086957	22831.25
29	428.641304348	24181.25
30	429.456521739	24812.5
31	430.27173913	25787.5
32	431.086956522	26975.0
33	431.902173913	27506.25
34	432.717391304	28700.0
35	433.532608696	29493.75
36	434.347826087	30406.25
37	435.163043478	31681.25
38	435.97826087	32681.25
39	436.793478261	33656.25
40	437.608695652	34406.25
41	438.423913043	34825.0
42	439.239130435	36006.25
43	440.054347826	36793.75
44	440.869565217	37493.75
45	441.684782609	38400.0
46	442.5	39425.0
47	443.315217391	39943.75
48	444.130434783	40506.25
49	444.945652174	41531.25
50	445.760869565	41718.75
51	446.576086957	42375.0
52	447.391304348	43237.5
53	448.206521739	43281.25
54	449.02173913	43875.0
55	449.836956522	44168.75
56	450.652173913	44625.0
57	451.467391304	45300.0
58	452.282608696	45518.75
59	453.097826087	46025.0
60	453.913043478	46387.5
61	454.72826087	46437.5
62	455.543478261	46887.5
63	456.358695652	47343.75
64	457.173913043	47350.0
65	457.989130435	47462.5
66	458.804347826	47650.0
67	459.619565217	47693.75
68	460.434782609	47943.75
69	461.25	47906.25
70	462.065217391	48131.25
71	462.880434783	48281.25
72	463.695652174	48312.5
73	464.510869565	48675.0
74	465.326086957	48875.0
75	466.141304348	48756.25
76	466.956521739	48868.75
77	467.77173913	48918.75
78	468.586956522	49056.25
79	469.402173913	49075.0
80	470.217391304	49056.25
81	471.032608696	49125.0
82	471.847826087	48937.5
83	472.663043478	48700.0
84	473.47826087	48687.5
