count	wavelength	intensity
0	405.0	7868.75
1	405.815217391	8075.0
2	406.630434783	8281.25
3	407.445652174	8646.66666667
4	408.260869565	8993.75
5	409.076086957	9275.0
6	409.891304348	9525.0
7	410.706521739	9612.5
8	411.52173913	10193.75
9	412.336956522	10587.5
10	413.152173913	10962.5
11	413.967391304	11462.5
12	414.782608696	12037.5
13	415.597826087	12375.0
14	416.413043478	12918.75
15	417.22826087	13431.25
16	418.043478261	14106.25
17	418.858695652	14825.0
18	419.673913043	15518.75
19	420.489130435	16068.75
20	421.304347826	16575.0
21	422.119565217	17368.75
22	422.934782609	17987.5
23	423.75	18625.0
24	424.565217391	19312.5
25	425.380434783	19800.0
26	426.195652174	20568.75
27	427.010869565	21337.5
28	427.826086957	21868.75
29	428.641304348	22550.0
30	429.456521739	23181.25
31	430.27173913	23687.5
32	431.086956522	24181.25
33	431.902173913	24781.25
34	432.717391304	25150.0
35	433.532608696	25656.25
36	434.347826087	26287.5
37	435.163043478	26843.75
38	435.97826087	27275.0
39	436.793478261	27731.25
40	437.608695652	28237.5
41	438.423913043	28618.75
42	439.239130435	28825.0
43	440.054347826	29231.25
44	440.869565217	29450.0
45	441.684782609	29675.0
46	442.5	30031.25
47	443.315217391	30337.5
48	444.130434783	30400.0
49	444.945652174	30718.75
50	445.760869565	30850.0
51	446.576086957	31031.25
52	447.391304348	31081.25
53	448.206521739	31068.75
54	449.02173913	31156.25
55	449.836956522	31106.25
56	450.652173913	31381.25
57	451.467391304	31250.0
58	452.282608696	31325.0
59	453.097826087	31268.75
60	453.913043478	31487.5
61	454.72826087	31612.5
62	455.543478261	31643.75
63	456.358695652	31687.5
64	457.173913043	31656.25
65	457.989130435	31481.25
66	458.804347826	31437.5
67	459.619565217	31381.25
68	460.434782609	31450.0
69	461.25	31456.25
70	462.065217391	31350.0
71	462.880434783	31331.25
72	463.695652174	31262.5
73	464.510869565	31050.0
74	465.326086957	30943.75
75	466.141304348	30981.25
76	466.956521739	30762.5
77	467.77173913	30487.5
78	468.586956522	30150.0
79	469.402173913	29787.5
80	470.217391304	29631.25
81	471.032608696	29450.0
82	471.847826087	29100.0
83	472.663043478	28556.25
84	473.47826087	28281.25
85	474.293478261	27962.5
86	475.108695652	27418.75
87	475.923913043	27112.5
88	476.739130435	26593.75
89	477.554347826	26237.5
90	478.369565217	25675.0
91	479.184782609	24956.25
92	480.0	24512.5
93	480.815217391	24356.25
94	481.630434783	24262.5
95	482.445652174	24206.25
96	483.260869565	24118.75
97	484.076086957	24250.0
98	484.891304348	24281.25
99	485.706521739	24150.0
100	486.52173913	24187.5
101	487.336956522	24318.75
102	488.152173913	24518.75
103	488.967391304	24668.75
104	489.782608696	24350.0
105	490.597826087	24550.0
106	491.413043478	24531.25
107	492.22826087	24512.5
108	493.043478261	24312.5
109	493.858695652	24100.0
110	494.673913043	23981.25
111	495.489130435	23781.25
112	496.304347826	23662.5
113	497.119565217	23975.0
114	497.934782609	23300.0
115	498.75	23287.5
116	499.565217391	22962.5
117	500.380434783	22706.25
118	501.195652174	22637.5
119	502.010869565	22562.5
120	502.826086957	22131.25
121	503.641304348	21956.25
122	504.456521739	21712.5
123	505.27173913	21612.5
124	506.086956522	21250.0
125	506.902173913	21150.0
126	507.717391304	21050.0
127	508.532608696	20837.5
128	509.347826087	20618.75
129	510.163043478	20650.0
130	510.97826087	20262.5
131	511.793478261	20312.5
132	512.608695652	20281.25
133	513.423913043	20075.0
134	514.239130435	19931.25
135	515.054347826	20118.75
136	515.869565217	19881.25
137	516.684782609	19937.5
138	517.5	19956.25
139	518.315217391	19756.25
140	519.130434783	19818.75
141	519.945652174	19868.75
142	520.760869565	19581.25
143	521.576086957	19637.5
144	522.391304348	19631.25
145	523.206521739	19456.25
146	524.02173913	19531.25
147	524.836956522	19425.0
148	525.652173913	19362.5
149	526.467391304	19325.0
150	527.282608696	19181.25
151	528.097826087	19131.25
152	528.913043478	18968.75
153	529.72826087	18962.5
154	530.543478261	18693.75
155	531.358695652	18487.5
156	532.173913043	18475.0
157	532.989130435	18425.0
158	533.804347826	18556.25
159	534.619565217	18450.0
160	535.434782609	18712.5
161	536.25	18812.5
162	537.065217391	18781.25
163	537.880434783	18856.25
164	538.695652174	18950.0
165	539.510869565	19050.0
166	540.326086957	19200.0
167	541.141304348	19125.0
168	541.956521739	19362.5
169	542.77173913	19406.25
170	543.586956522	19593.75
171	544.402173913	19656.25
172	545.217391304	19768.75
173	546.032608696	19812.5
174	546.847826087	19950.0
175	547.663043478	19975.0
176	548.47826087	20056.25
177	549.293478261	20068.75
178	550.108695652	20156.25
179	550.923913043	20125.0
180	551.739130435	20293.75
181	552.554347826	20300.0
182	553.369565217	20312.5
183	554.184782609	20331.25
184	555.0	20412.5
185	555.815217391	20412.5
186	556.630434783	20412.5
187	557.445652174	20468.75
188	558.260869565	20493.75
189	559.076086957	20506.25
190	559.891304348	20500.0
191	560.706521739	20543.75
192	561.52173913	20593.75
193	562.336956522	20606.25
194	563.152173913	20618.75
195	563.967391304	20643.75
196	564.782608696	20656.25
197	565.597826087	20706.25
198	566.413043478	20693.75
199	567.22826087	20681.25
200	568.043478261	20731.25
201	568.858695652	20743.75
202	569.673913043	20756.25
203	570.489130435	20806.25
204	571.304347826	20756.25
205	572.119565217	20756.25
206	572.934782609	20793.75
207	573.75	20756.25
208	574.565217391	20762.5
209	575.380434783	20843.75
210	576.195652174	20831.25
211	577.010869565	20818.75
212	577.826086957	20793.75
213	578.641304348	20781.25
214	579.456521739	20800.0
215	580.27173913	20731.25
216	581.086956522	20750.0
217	581.902173913	20706.25
218	582.717391304	20668.75
219	583.532608696	20681.25
220	584.347826087	20618.75
221	585.163043478	20581.25
222	585.97826087	20525.0
223	586.793478261	20468.75
224	587.608695652	20468.75
225	588.423913043	20431.25
226	589.239130435	20362.5
227	590.054347826	20362.5
228	590.869565217	20343.75
229	591.684782609	20250.0
230	592.5	20206.25
231	593.315217391	20187.5
232	594.130434783	20087.5
233	594.945652174	20150.0
234	595.760869565	20050.0
235	596.576086957	20056.25
236	597.391304348	19981.25
237	598.206521739	19925.0
238	599.02173913	19918.75
239	599.836956522	19893.75
240	600.652173913	19850.0
241	601.467391304	19781.25
242	602.282608696	19787.5
243	603.097826087	19775.0
244	603.913043478	19712.5
245	604.72826087	19706.25
246	605.543478261	19662.5
247	606.358695652	19568.75
248	607.173913043	19600.0
249	607.989130435	19493.75
250	608.804347826	19387.5
251	609.619565217	19400.0
252	610.434782609	19337.5
253	611.25	19250.0
254	612.065217391	19200.0
255	612.880434783	19193.75
256	613.695652174	19043.75
257	614.510869565	19025.0
258	615.326086957	19062.5
259	616.141304348	19556.25
260	616.956521739	20362.5
261	617.77173913	20962.5
262	618.586956522	22137.5
263	619.402173913	23431.25
264	620.217391304	24987.5
265	621.032608696	25925.0
266	621.847826087	27025.0
267	622.663043478	28156.25
268	623.47826087	29562.5
269	624.293478261	30737.5
270	625.108695652	31381.25
271	625.923913043	32293.75
272	626.739130435	32950.0
273	627.554347826	33387.5
274	628.369565217	33768.75
275	629.184782609	34325.0
276	630.0	34581.25
277	630.815217391	34712.5
278	631.630434783	34925.0
279	632.445652174	34806.25
280	633.260869565	34918.75
281	634.076086957	34650.0
282	634.891304348	34631.25
283	635.706521739	34575.0
284	636.52173913	34718.75
285	637.336956522	34387.5
286	638.152173913	34175.0
287	638.967391304	34025.0
288	639.782608696	34062.5
289	640.597826087	34018.75
290	641.413043478	33750.0
291	642.22826087	33412.5
292	643.043478261	33175.0
293	643.858695652	33112.5
294	644.673913043	32875.0
295	645.489130435	32706.25
296	646.304347826	32568.75
297	647.119565217	32362.5
298	647.934782609	32025.0
299	648.75	31756.25
300	649.565217391	31500.0
301	650.380434783	31556.25
302	651.195652174	31043.75
303	652.010869565	31006.25
304	652.826086957	30862.5
305	653.641304348	30593.75
306	654.456521739	30137.5
307	655.27173913	30118.75
308	656.086956522	29900.0
309	656.902173913	29812.5
310	657.717391304	29487.5
311	658.532608696	29318.75
312	659.347826087	29118.75
313	660.163043478	29531.25
314	660.97826087	28443.75
315	661.793478261	28131.25
316	662.608695652	28537.5
317	663.423913043	28100.0
318	664.239130435	27787.5
319	665.054347826	27493.75
320	665.869565217	27581.25
321	666.684782609	27150.0
322	667.5	27231.25
323	668.315217391	26975.0
324	669.130434783	27081.25
325	669.945652174	26631.25
326	670.760869565	26493.75
327	671.576086957	26281.25
328	672.391304348	26037.5
329	673.206521739	25425.0
330	674.02173913	25656.25
331	674.836956522	25275.0
332	675.652173913	25125.0
333	676.467391304	25093.75
334	677.282608696	25025.0
335	678.097826087	24731.25
336	678.913043478	24268.75
337	679.72826087	24075.0
338	680.543478261	24318.75
339	681.358695652	24518.75
340	682.173913043	24250.0
341	682.989130435	23850.0
342	683.804347826	23812.5
343	684.619565217	23743.75
344	685.434782609	23125.0
345	686.25	23375.0
346	687.065217391	23137.5
347	687.880434783	23331.25
348	688.695652174	23137.5
349	689.510869565	23375.0
350	690.326086957	22406.25
351	691.141304348	22843.75
352	691.956521739	22425.0
353	692.77173913	22550.0
354	693.586956522	22375.0
355	694.402173913	22481.25
356	695.217391304	22456.25
357	696.032608696	22087.5
358	696.847826087	21975.0
359	697.663043478	21862.5
360	698.47826087	21881.25
361	699.293478261	21625.0
362	700.108695652	21150.0
363	700.923913043	20987.5
364	701.739130435	20868.75
365	702.554347826	20950.0
366	703.369565217	20850.0
367	704.184782609	20537.5
368	705.0	20337.5
369	705.815217391	20293.75
370	706.630434783	20500.0
371	707.445652174	20050.0
372	708.260869565	19837.5
373	709.076086957	19843.75
374	709.891304348	19562.5
375	710.706521739	19562.5
376	711.52173913	19006.25
377	712.336956522	19362.5
378	713.152173913	18900.0
379	713.967391304	18675.0
380	714.782608696	18537.5
381	715.597826087	18525.0
382	716.413043478	18443.75
383	717.22826087	18375.0
384	718.043478261	17825.0
385	718.858695652	18412.5
386	719.673913043	17818.75
387	720.489130435	17537.5
388	721.304347826	17868.75
389	722.119565217	17537.5
390	722.934782609	17587.5
391	723.75	17325.0
392	724.565217391	17000.0
393	725.380434783	17081.25
394	726.195652174	17106.25
395	727.010869565	16775.0
396	727.826086957	16525.0
397	728.641304348	16506.25
398	729.456521739	16237.5
399	730.27173913	16175.0
400	731.086956522	15906.25
401	731.902173913	15643.75
402	732.717391304	15706.25
403	733.532608696	15443.75
404	734.347826087	15237.5
405	735.163043478	15087.5
406	735.97826087	14831.25
407	736.793478261	14593.75
408	737.608695652	14562.5
409	738.423913043	14356.25
410	739.239130435	14268.75
411	740.054347826	13906.25
412	740.869565217	13856.25
413	741.684782609	13906.25
414	742.5	13637.5
415	743.315217391	13331.25
416	744.130434783	13000.0
417	744.945652174	13018.75
418	745.760869565	12900.0
419	746.576086957	12675.0
420	747.391304348	12800.0
421	748.206521739	12425.0
422	749.02173913	12031.25
423	749.836956522	12475.0
424	750.652173913	11743.75
425	751.467391304	11556.25
426	752.282608696	11262.5
427	753.097826087	11225.0
428	753.913043478	11056.25
429	754.72826087	11081.25
430	755.543478261	11187.5
431	756.358695652	10787.5
432	757.173913043	10768.75
433	757.989130435	10543.75
434	758.804347826	10575.0
435	759.619565217	10606.25
436	760.434782609	10137.5
437	761.25	10131.25
438	762.065217391	10062.5
439	762.880434783	10231.25
440	763.695652174	10018.75
441	764.510869565	9687.5
442	765.326086957	9956.25
443	766.141304348	9718.75
444	766.956521739	9400.0
445	767.77173913	9600.0
446	768.586956522	9625.0
447	769.402173913	9200.0
448	770.217391304	9431.25
449	771.032608696	9112.5
450	771.847826087	9087.5
451	772.663043478	9031.25
452	773.47826087	8962.5
453	774.293478261	8731.25
454	775.108695652	8862.5
455	775.923913043	8818.75
456	776.739130435	8843.75
457	777.554347826	8668.75
458	778.369565217	8875.0
459	779.184782609	8262.5
