count	wavelength	intensity
0	405.0	121.75
1	405.815217391	128.0625
2	406.630434783	132.3125
3	407.445652174	136.4375
4	408.260869565	141.5
5	409.076086957	144.125
6	409.891304348	153.0625
7	410.706521739	153.6875
8	411.52173913	160.25
9	412.336956522	167.25
10	413.152173913	175.0
11	413.967391304	181.0625
12	414.782608696	189.125
13	415.597826087	191.0
14	416.413043478	198.75
15	417.22826087	207.3125
16	418.043478261	212.375
17	418.858695652	217.9375
18	419.673913043	227.4375
19	420.489130435	235.6875
20	421.304347826	242.6875
21	422.119565217	250.4375
22	422.934782609	256.5
23	423.75	264.375
24	424.565217391	270.6875
25	425.380434783	275.5625
26	426.195652174	283.0
27	427.010869565	288.125
28	427.826086957	302.25
29	428.641304348	309.0
30	429.456521739	316.1875
31	430.27173913	320.375
32	431.086956522	326.375
33	431.902173913	328.9375
34	432.717391304	335.4375
35	433.532608696	340.0625
36	434.347826087	344.625
37	435.163043478	346.1875
38	435.97826087	353.8125
39	436.793478261	363.5625
40	437.608695652	363.5
41	438.423913043	365.625
42	439.239130435	372.875
43	440.054347826	376.75
44	440.869565217	379.3125
45	441.684782609	379.0625
46	442.5	382.375
47	443.315217391	384.0625
48	444.130434783	386.0625
49	444.945652174	391.4375
50	445.760869565	392.875
51	446.576086957	394.5
52	447.391304348	393.9375
53	448.206521739	396.4375
54	449.02173913	397.875
55	449.836956522	399.1875
56	450.652173913	403.125
57	451.467391304	403.5
58	452.282608696	406.75
59	453.097826087	403.3125
60	453.913043478	407.0
61	454.72826087	409.9375
62	455.543478261	411.0625
63	456.358695652	410.1875
64	457.173913043	412.75
65	457.989130435	414.1875
66	458.804347826	412.9375
67	459.619565217	411.875
68	460.434782609	411.25
69	461.25	413.75
70	462.065217391	413.3125
71	462.880434783	412.3125
72	463.695652174	411.25
73	464.510869565	412.875
74	465.326086957	410.0625
75	466.141304348	408.4375
76	466.956521739	406.125
77	467.77173913	406.25
78	468.586956522	403.9375
79	469.402173913	403.25
80	470.217391304	401.0625
81	471.032608696	400.9375
82	471.847826087	398.3125
83	472.663043478	395.4375
84	473.47826087	396.4375
85	474.293478261	396.0625
86	475.108695652	392.6875
87	475.923913043	391.0625
88	476.739130435	392.125
89	477.554347826	389.5
90	478.369565217	388.5625
91	479.184782609	386.9375
92	480.0	386.5
93	480.815217391	383.5
94	481.630434783	382.75
95	482.445652174	380.9375
96	483.260869565	379.0625
97	484.076086957	372.625
98	484.891304348	370.9375
99	485.706521739	366.75
100	486.52173913	364.8125
101	487.336956522	358.6875
102	488.152173913	357.125
103	488.967391304	354.8125
104	489.782608696	349.4375
105	490.597826087	346.9375
106	491.413043478	345.1875
107	492.22826087	339.8125
108	493.043478261	337.875
109	493.858695652	333.25
110	494.673913043	326.9375
111	495.489130435	325.8125
112	496.304347826	322.8125
113	497.119565217	320.875
114	497.934782609	317.4375
115	498.75	313.1875
116	499.565217391	313.3125
