count   wavelength	intensity
0	405.0	65.0
1	405.815217391	69.0
2	406.630434783	68.0
3	407.445652174	68.0
4	408.260869565	70.0
5	409.076086957	78.0
6	409.891304348	72.0
7	410.706521739	81.0
8	411.52173913	82.0
9	412.336956522	88.0
10	413.152173913	93.0
11	413.967391304	98.0
12	414.782608696	102.0
13	415.597826087	107.0
14	416.413043478	115.0
15	417.22826087	118.0
16	418.043478261	124.0
17	418.858695652	135.0
18	419.673913043	141.0
19	420.489130435	145.0
20	421.304347826	151.0
21	422.119565217	160.0
22	422.934782609	164.0
23	423.75	172.0
24	424.565217391	176.0
25	425.380434783	182.0
26	426.195652174	190.0
27	427.010869565	197.0
28	427.826086957	203.0
29	428.641304348	208.0
30	429.456521739	210.0
31	430.27173913	214.0
32	431.086956522	220.0
33	431.902173913	224.0
34	432.717391304	224.0
35	433.532608696	230.0
36	434.347826087	233.0
37	435.163043478	240.0
38	435.97826087	240.0
39	436.793478261	241.0
40	437.608695652	245.0
41	438.423913043	249.0
42	439.239130435	256.0
43	440.054347826	258.0
44	440.869565217	260.0
45	441.684782609	260.0
46	442.5	261.0
47	443.315217391	264.0
48	444.130434783	264.0
49	444.945652174	264.0
50	445.760869565	263.0
51	446.576086957	264.0
52	447.391304348	264.0
53	448.206521739	264.0
54	449.02173913	264.0
55	449.836956522	264.0
56	450.652173913	264.0
57	451.467391304	264.0
58	452.282608696	264.0
59	453.097826087	264.0
60	453.913043478	264.0
61	454.72826087	264.0
62	455.543478261	264.0
63	456.358695652	264.0
64	457.173913043	264.0
65	457.989130435	264.0
66	458.804347826	264.0
67	459.619565217	264.0
68	460.434782609	264.0
69	461.25	261.0
70	462.065217391	261.0
71	462.880434783	259.0
72	463.695652174	258.0
73	464.510869565	252.0
74	465.326086957	251.0
75	466.141304348	246.0
76	466.956521739	241.0
77	467.77173913	238.0
78	468.586956522	235.0
79	469.402173913	230.0
80	470.217391304	228.0
81	471.032608696	225.0
82	471.847826087	223.0
83	472.663043478	218.0
84	473.47826087	215.0
85	474.293478261	212.0
86	475.108695652	203.0
87	475.923913043	199.0
88	476.739130435	193.0
89	477.554347826	189.0
90	478.369565217	182.0
91	479.184782609	177.0
92	480.0	175.0
93	480.815217391	170.0
94	481.630434783	160.0
95	482.445652174	155.0
96	483.260869565	157.0
97	484.076086957	146.0
98	484.891304348	145.0
99	485.706521739	138.0
100	486.52173913	142.0
101	487.336956522	132.0
102	488.152173913	134.0
103	488.967391304	124.0
104	489.782608696	128.0
105	490.597826087	123.0
106	491.413043478	120.0
107	492.22826087	131.0
108	493.043478261	124.0
109	493.858695652	121.0
110	494.673913043	115.0
111	495.489130435	113.0
112	496.304347826	116.0
113	497.119565217	108.0
114	497.934782609	110.0
115	498.75	110.0
116	499.565217391	109.0
117	500.380434783	110.0
118	501.195652174	105.0
119	502.010869565	105.0
120	502.826086957	105.0
121	503.641304348	114.0
122	504.456521739	115.0
123	505.27173913	100.0
124	506.086956522	94.0
125	506.902173913	99.0
126	507.717391304	112.0
127	508.532608696	110.0
128	509.347826087	107.0
129	510.163043478	106.0
130	510.97826087	120.0
131	511.793478261	118.0
132	512.608695652	117.0
133	513.423913043	123.0
134	514.239130435	118.0
135	515.054347826	128.0
136	515.869565217	125.0
137	516.684782609	120.0
138	517.5	134.0
139	518.315217391	137.0
140	519.130434783	138.0
141	519.945652174	130.0
142	520.760869565	147.0
143	521.576086957	146.0
144	522.391304348	151.0
145	523.206521739	153.0
146	524.02173913	150.0
147	524.836956522	151.0
148	525.652173913	157.0
149	526.467391304	161.0
150	527.282608696	162.0
151	528.097826087	156.0
152	528.913043478	161.0
153	529.72826087	168.0
154	530.543478261	165.0
155	531.358695652	174.0
156	532.173913043	163.0
157	532.989130435	173.0
158	533.804347826	170.0
159	534.619565217	167.0
160	535.434782609	170.0
161	536.25	161.0
162	537.065217391	168.0
163	537.880434783	167.0
164	538.695652174	162.0
165	539.510869565	166.0
166	540.326086957	167.0
167	541.141304348	169.0
168	541.956521739	167.0
169	542.77173913	168.0
170	543.586956522	173.0
171	544.402173913	171.0
172	545.217391304	175.0
173	546.032608696	175.0
174	546.847826087	176.0
175	547.663043478	177.0
176	548.47826087	177.0
177	549.293478261	179.0
178	550.108695652	179.0
179	550.923913043	177.0
180	551.739130435	176.0
181	552.554347826	175.0
182	553.369565217	176.0
183	554.184782609	177.0
184	555.0	178.0
185	555.815217391	180.0
186	556.630434783	179.0
187	557.445652174	181.0
188	558.260869565	182.0
189	559.076086957	180.0
190	559.891304348	179.0
191	560.706521739	179.0
192	561.52173913	179.0
193	562.336956522	179.0
194	563.152173913	179.0
195	563.967391304	182.0
196	564.782608696	180.0
197	565.597826087	180.0
198	566.413043478	182.0
199	567.22826087	183.0
200	568.043478261	180.0
201	568.858695652	182.0
202	569.673913043	182.0
203	570.489130435	183.0
204	571.304347826	180.0
205	572.119565217	179.0
206	572.934782609	180.0
207	573.75	179.0
208	574.565217391	179.0
209	575.380434783	179.0
210	576.195652174	178.0
211	577.010869565	178.0
212	577.826086957	177.0
213	578.641304348	174.0
214	579.456521739	175.0
215	580.27173913	176.0
216	581.086956522	175.0
217	581.902173913	174.0
218	582.717391304	172.0
219	583.532608696	173.0
220	584.347826087	171.0
221	585.163043478	171.0
222	585.97826087	169.0
223	586.793478261	170.0
224	587.608695652	172.0
225	588.423913043	169.0
226	589.239130435	170.0
227	590.054347826	170.0
228	590.869565217	167.0
229	591.684782609	168.0
230	592.5	168.0
231	593.315217391	167.0
232	594.130434783	167.0
233	594.945652174	167.0
234	595.760869565	165.0
235	596.576086957	165.0
236	597.391304348	162.0
237	598.206521739	164.0
238	599.02173913	162.0
239	599.836956522	160.0
240	600.652173913	163.0
241	601.467391304	161.0
242	602.282608696	159.0
243	603.097826087	160.0
244	603.913043478	158.0
245	604.72826087	160.0
246	605.543478261	160.0
247	606.358695652	160.0
248	607.173913043	157.0
249	607.989130435	155.0
250	608.804347826	152.0
251	609.619565217	159.0
252	610.434782609	156.0
253	611.25	166.0
254	612.065217391	163.0
255	612.880434783	179.0
256	613.695652174	191.0
257	614.510869565	195.0
258	615.326086957	204.0
259	616.141304348	222.0
260	616.956521739	231.0
