count	wavelength	intensity
0	405.0	103.6875
1	405.815217391	108.375
2	406.630434783	109.625
3	407.445652174	112.9375
4	408.260869565	119.0
5	409.076086957	122.5
6	409.891304348	127.0
7	410.706521739	130.4375
8	411.52173913	135.75
9	412.336956522	141.0625
10	413.152173913	144.875
11	413.967391304	153.0
12	414.782608696	156.1875
13	415.597826087	162.6875
14	416.413043478	168.0
15	417.22826087	172.5625
16	418.043478261	178.4375
17	418.858695652	183.25
18	419.673913043	189.9375
19	420.489130435	195.25
20	421.304347826	202.9375
21	422.119565217	209.0625
22	422.934782609	218.5625
23	423.75	220.0
24	424.565217391	223.625
25	425.380434783	231.8125
26	426.195652174	238.9375
27	427.010869565	244.3125
28	427.826086957	250.4375
29	428.641304348	254.25
30	429.456521739	259.375
31	430.27173913	263.25
32	431.086956522	268.375
33	431.902173913	272.9375
34	432.717391304	277.875
35	433.532608696	279.375
36	434.347826087	285.4375
37	435.163043478	290.3125
38	435.97826087	292.125
39	436.793478261	298.1875
40	437.608695652	304.4375
41	438.423913043	303.8125
42	439.239130435	312.25
43	440.054347826	313.9375
44	440.869565217	314.0
45	441.684782609	319.75
46	442.5	323.8125
47	443.315217391	329.625
48	444.130434783	330.25
49	444.945652174	328.6875
50	445.760869565	330.75
51	446.576086957	333.5
52	447.391304348	338.75
53	448.206521739	338.25
54	449.02173913	340.5
55	449.836956522	341.75
56	450.652173913	342.1875
57	451.467391304	344.0
58	452.282608696	348.5625
59	453.097826087	349.6875
60	453.913043478	351.0
61	454.72826087	355.3125
62	455.543478261	353.125
63	456.358695652	352.4375
64	457.173913043	358.8125
65	457.989130435	357.0
66	458.804347826	359.0
67	459.619565217	358.25
68	460.434782609	358.9375
69	461.25	359.4375
70	462.065217391	359.9375
71	462.880434783	356.875
72	463.695652174	359.0625
73	464.510869565	359.25
74	465.326086957	357.5625
75	466.141304348	356.1875
76	466.956521739	354.6875
77	467.77173913	356.625
78	468.586956522	353.625
79	469.402173913	352.8125
80	470.217391304	348.625
81	471.032608696	346.0
82	471.847826087	344.8125
